Solution Time,CoordinateX,CoordinateY,CoordinateZ,udm-3,Turbulent Energy Dissipation,Temperature,solar-heat-flux,X-component-velocity,incident-radiation,viscosity-eff,Y Plus,Pressure,Y-component-velocity,Turbulent Kinetic Energy,Z-component-velocity,,turb-intensity,udm-1,Magnitude Velocity,udm-2
3600,1928.23425,1745.68677,63.0612679,21.7678738,0.006284466,296.605865,0,0,1812.7229,0.002257563,89.3340149,35.4933701,0,0.006011091,0,298.995697,0.062488463,0,0,0
7200,1928.23425,1745.68677,63.0612679,20.4046822,0.006479104,296.673492,0,0,1762.50134,0.002364398,100.77166,28.12994,0,0.005948863,0,296.902893,0.063567847,0,0,0
10800,1928.23425,1745.68677,63.0612679,20.4125729,0.009169924,295.819672,0,0,1757.5553,0.002707752,79.145195,39.7078094,0,0.007673766,0,296.694397,0.070734292,0,0,0
14400,1928.23425,1745.68677,63.0612679,18.5006752,0.009297279,295.526398,0,0,1738.47522,0.00252675,125.940506,16.8487434,0,0.007951632,0,295.885834,0.070786364,0,0,0
18000,1928.23425,1745.68677,63.0612679,18.3916206,0.00466072,295.328888,0,0,1730.729,0.002038778,88.0373611,15.5420399,0,0.005013418,0,295.555695,0.056509748,0,0,0
21600,1928.23425,1745.68677,63.0612679,18.665905,0.009764474,294.803925,0,0,1725.76062,0.002699078,91.9082718,26.1902466,0,0.008056294,0,295.343353,0.071707614,0,0,0
25200,1928.23425,1745.68677,63.0612679,18.0209007,0.007574142,294.721832,0.522419691,0,1717.52539,0.002471591,102.960098,33.6872101,0,0.006944268,0,294.990387,0.066140123,0,0,0
28800,1928.23425,1745.68677,63.0612679,20.0745201,0.005210032,295.673706,89.2855835,0,1729.03821,0.002214413,92.4823227,23.340992,0,0.005376533,0,295.48349,0.058849406,0,0,0
32400,1928.23425,1745.68677,63.0612679,22.3456879,0.002059181,297.922424,190.964554,0,1765.1991,0.001549982,74.2357178,-3.20390463,0,0.002843702,0,297.016449,0.043117639,0,0,0
36000,1928.23425,1745.68677,63.0612679,24.4201107,0.0019215,301.183228,274.437561,0,1828.18042,0.001419349,93.6056671,-56.9921722,0,0.002699654,0,299.631042,0.042149458,0,0,0
39600,1928.23425,1745.68677,63.0612679,26.8048573,0.003731023,304.991882,314.975708,0,1909.08167,0.001813857,99.4092331,-87.1623535,0,0.004178085,0,302.892242,0.052772988,0,0,0
43200,1928.23425,1745.68677,63.0612679,30.9962864,0.002843078,309.284271,300.710175,0,2000.38342,0.001588596,94.3893509,-68.7487488,0,0.003487989,0,306.45047,0.047892932,0,0,0
46800,1928.23425,1745.68677,63.0612679,33.2459259,0.005504234,312.178253,208.725815,0,2100.02612,0.002114377,121.453964,-87.3490295,0,0.005420448,0,310.197296,0.060174663,0,0,0
50400,1928.23425,1745.68677,63.0612679,35.2467384,0.005205895,314.249023,79.9797974,0,2163.87427,0.002236708,116.321091,-80.489212,0,0.00524962,0,312.52829,0.059040722,0,0,0
54000,1928.23425,1745.68677,63.0612679,37.6581078,0.007865741,315.068085,17.1981449,0,2212.18457,0.002859705,115.226974,-84.2785416,0,0.006886979,0,314.258514,0.067779757,0,0,0
57600,1928.23425,1745.68677,63.0612679,38.5823441,0.011829006,315.335419,12.8634443,0,2222.70679,0.003140607,113.290352,-67.3580551,0,0.009003634,0,314.631653,0.077019312,0,0,0
61200,1928.23425,1745.68677,63.0612679,36.8855629,0.007967499,314.796661,8.16952515,0,2216.97632,0.0027128,110.051125,-69.0604782,0,0.007014381,0,314.42865,0.068248533,0,0,0
64800,1928.23425,1745.68677,63.0612679,36.8472633,0.009221581,314.311951,3.84547758,0,2194.47217,0.002735872,120.986084,-53.9814186,0,0.007730763,0,313.627777,0.071662925,0,0,0
68400,1928.23425,1745.68677,63.0612679,35.4195595,0.011384504,313.139648,1.0737561,0,2177.46313,0.002941123,115.943138,-41.2459106,0,0.008866651,0,313.018219,0.076831661,0,0,0
72000,1928.23425,1745.68677,63.0612679,36.6938782,0.005338505,313.417542,0.059340999,0,2141.83545,0.002050725,112.20874,-11.6067829,0,0.005293336,0,311.729858,0.059434857,0,0,0
75600,1928.23425,1745.68677,63.0612679,33.115551,0.009499731,311.337769,0.000129651,0,2134.32178,0.002816347,110.826851,5.81331968,0,0.007868054,0,311.455902,0.072374329,0,0,0
79200,1928.23425,1745.68677,63.0612679,31.1085606,0.007963556,310.316284,0,0,2076.60229,0.002663682,95.1042786,21.2396755,0,0.006982029,0,309.328674,0.068169363,0,0,0
82800,1928.23425,1745.68677,63.0612679,30.1033554,0.004563967,309.478699,0,0,2045.87317,0.002122774,89.2973022,19.5421276,0,0.004816399,0,308.177826,0.056366243,0,0,0
86400,1928.23425,1745.68677,63.0612679,29.0974026,0.004015276,308.490875,0,0,2020.84973,0.002024877,84.5601501,19.7814922,0,0.004430725,0,307.23111,0.054187462,0,0,0
