Solution Time,CoordinateX,CoordinateY,CoordinateZ,udm-3,Turbulent Energy Dissipation,Temperature,solar-heat-flux,X-component-velocity,incident-radiation,viscosity-eff,Y Plus,Pressure,Y-component-velocity,Turbulent Kinetic Energy,Z-component-velocity,,turb-intensity,udm-1,Magnitude Velocity,udm-2
3600,1938.84692,1758.33752,64.586937,20.4500408,0.011769221,296.623962,0,0,1816.25574,0.001539314,163.927383,34.9339371,0,0.00821933,0,299.141266,0.073840164,0,0,0
7200,1938.84692,1758.33752,64.586937,18.8675442,0.011776397,296.780151,0,0,1761.9895,0.001573418,164.633347,27.4010849,0,0.008232081,0,296.881348,0.074199833,0,0,0
10800,1938.84692,1758.33752,64.586937,18.062109,0.011216006,295.916321,0,0,1761.46631,0.001529627,158.930908,38.938736,0,0.007933838,0,296.859314,0.072860427,0,0,0
14400,1938.84692,1758.33752,64.586937,18.3432693,0.007150809,295.962341,0,0,1741.89441,0.001344019,142.284409,16.129034,0,0.005929063,0,296.03125,0.06269487,0,0,0
18000,1938.84692,1758.33752,64.586937,17.7621784,0.007170937,295.544739,0,0,1740.48767,0.001323538,139.512115,14.7933826,0,0.005860114,0,295.971436,0.062852047,0,0,0
21600,1938.84692,1758.33752,64.586937,17.5080109,0.008146198,295.312683,0,0,1729.79285,0.001339046,155.063965,25.4170475,0,0.006481772,0,295.515717,0.065725364,0,0,0
25200,1938.84692,1758.33752,64.586937,18.103199,0.005272677,295.228271,0.275982469,0,1726.03015,0.001212548,133.2061,33.0109024,0,0.004841371,0,295.354889,0.056536034,0,0,0
28800,1938.84692,1758.33752,64.586937,20.1593266,0.001716026,295.606537,2.10547328,0,1728.53833,0.000814973,93.1610489,22.7727604,0,0.002217308,0,295.462128,0.038671728,0,0,0
32400,1938.84692,1758.33752,64.586937,21.5712128,0.00150213,295.909729,5.76026201,0,1748.88928,0.000683095,87.6366043,-3.61224675,0,0.002003649,0,296.327972,0.036974978,0,0,0
36000,1938.84692,1758.33752,64.586937,22.5020313,0.004167335,296.530457,10.3169279,0,1775.82227,0.000985481,130.746414,-57.3818588,0,0.004150463,0,297.462311,0.052376337,0,0,0
39600,1938.84692,1758.33752,64.586937,25.4486198,0.004537881,297.7276,14.9597111,0,1814.16711,0.001047484,107.320366,-87.4356003,0,0.004354212,0,299.055206,0.053675968,0,0,0
43200,1938.84692,1758.33752,64.586937,27.3073826,0.000605579,299.140747,67.7423172,0,1869.95459,0.000541789,60.6621017,-68.5409622,0,0.001110826,0,301.328186,0.02777696,0,0,0
46800,1938.84692,1758.33752,64.586937,27.0071583,0.009486172,301.89566,206.495819,0,1935.2843,0.001380974,155.733185,-87.4584503,0,0.007160002,0,303.926178,0.06889385,0,0,0
50400,1938.84692,1758.33752,64.586937,33.3976707,0.004972377,304.3974,20.0071163,0,1975.55933,0.001932403,57.8367157,-80.6004562,0,0.004643625,0,305.495117,0.055679239,0,0,0
54000,1938.84692,1758.33752,64.586937,33.9612923,0.031896021,305.497589,17.1981449,0,2018.42981,0.003852269,135.707047,-84.1202393,0,0.016061051,0,307.139038,0.103670798,0,0,0
57600,1938.84692,1758.33752,64.586937,34.188591,0.04188358,306.178223,12.8634443,0,2040.01233,0.003945838,165.893158,-67.0311661,0,0.019199209,0,307.956787,0.113047212,0,0,0
61200,1938.84692,1758.33752,64.586937,34.9130859,0.005568153,306.713043,8.16952515,0,2047.17529,0.001824514,94.5551453,-68.8780441,0,0.005011834,0,308.226807,0.057856306,0,0,0
64800,1938.84692,1758.33752,64.586937,33.5937653,0.003853014,306.692719,3.84547758,0,2050.80933,0.001205629,100.710587,-53.7228241,0,0.003906392,0,308.363525,0.050926998,0,0,0
68400,1938.84692,1758.33752,64.586937,32.1459465,0.006199765,306.566223,1.0737561,0,2041.32678,0.001282787,132.400513,-41.1393204,0,0.005377986,0,308.0065,0.059878591,0,0,0
72000,1938.84692,1758.33752,64.586937,34.0494308,0.001541004,306.725525,0.059340999,0,2029.61707,0.001383438,35.8636856,-11.4947243,0,0.002104367,0,307.563934,0.037256979,0,0,0
75600,1938.84692,1758.33752,64.586937,29.1169415,0.016790684,305.745972,0.000129651,0,2020.91016,0.001667382,193.237366,5.80627441,0,0.010444972,0,307.233551,0.083409272,0,0,0
79200,1938.84692,1758.33752,64.586937,28.9094505,0.011089018,305.543243,0,0,1988.54004,0.001645625,159.510513,21.1464214,0,0.007916818,0,305.99588,0.072581887,0,0,0
82800,1938.84692,1758.33752,64.586937,26.4083862,0.01610361,304.597473,0,0,1975.68298,0.001658036,189.222412,19.238802,0,0.010156157,0,305.500092,0.082233235,0,0,0
86400,1938.84692,1758.33752,64.586937,26.9116135,0.007591944,304.473877,0,0,1949.46753,0.001350611,143.91925,19.4814587,0,0.006123939,0,304.481598,0.063704342,0,0,0
