Solution Time,CoordinateX,CoordinateY,CoordinateZ,udm-3,Turbulent Energy Dissipation,Temperature,solar-heat-flux,X-component-velocity,incident-radiation,viscosity-eff,Y Plus,Pressure,Y-component-velocity,Turbulent Kinetic Energy,Z-component-velocity,,turb-intensity,udm-1,Magnitude Velocity,udm-2
3600,1964.44763,1723.0625,71.665802,25.4527893,0.036652386,297.403259,0,0,1809.55835,0.004573578,65.9502411,34.0765419,0,0.017588114,0,298.865112,0.10827703,0,0,0
7200,1964.44763,1723.0625,71.665802,24.6283207,0.022424283,297.447693,0,0,1771.57324,0.004078365,37.7364922,25.9323368,0,0.012638064,0,297.284241,0.091782659,0,0,0
10800,1964.44763,1723.0625,71.665802,24.4076843,0.09914615,296.738251,0,0,1764.74219,0.006832367,42.3170929,37.3207817,0,0.034141369,0,296.997223,0.150683761,0,0,0
14400,1964.44763,1723.0625,71.665802,22.9169464,0.027098225,296.574646,0,0,1747.84631,0.004302501,53.1518326,14.1763525,0,0.014364122,0,296.283783,0.097770736,0,0,0
18000,1964.44763,1723.0625,71.665802,23.440279,0.00297506,296.467712,0,0,1742.33264,0.001944653,18.4609261,12.6724367,0,0.003240343,0,296.049866,0.046436898,0,0,0
21600,1964.44763,1723.0625,71.665802,23.3102875,0.012145306,296.269653,0,0,1738.3186,0.003386812,35.7842979,23.5140152,0,0.008396724,0,295.879181,0.074802704,0,0,0
25200,1964.44763,1723.0625,71.665802,23.0843277,0.017060043,296.168762,0.275982469,0,1736.30786,0.003865541,51.5083504,31.1799603,0,0.010569419,0,295.793579,0.083830163,0,0,0
28800,1964.44763,1723.0625,71.665802,23.7632256,0.042616617,296.795624,2.10547352,0,1744.06848,0.004853641,99.599968,21.773859,0,0.019421637,0,296.123566,0.113827854,0,0,0
32400,1964.44763,1723.0625,71.665802,25.4228058,0.023043457,297.430511,5.76026249,0,1771.58862,0.003938863,85.7745056,-4.24160337,0,0.012945721,0,297.284851,0.092819743,0,0,0
36000,1964.44763,1723.0625,71.665802,27.4639187,0.004414621,297.9776,10.3169289,0,1803.11902,0.002102171,46.6490135,-57.6440125,0,0.004227793,0,298.598877,0.053092033,0,0,0
39600,1964.44763,1723.0625,71.665802,28.9622898,0.000863457,298.95285,14.9597111,0,1838.62549,0.000796698,62.8049812,-87.0745163,0,0.001453487,0,300.058105,0.030845828,0,0,0
43200,1964.44763,1723.0625,71.665802,29.6030483,0.001027497,300.167145,19.0666046,0,1882.58728,0.000594984,83.4961243,-68.03965,0,0.001595559,0,301.835876,0.032852646,0,0,0
46800,1964.44763,1723.0625,71.665802,30.9796753,0.001018028,301.355347,20.352972,0,1932.67688,0.001089834,46.2968102,-86.8776321,0,0.001615699,0,303.823883,0.032689095,0,0,0
50400,1964.44763,1723.0625,71.665802,31.2744522,0.011699913,303.018402,20.0071163,0,1979.68726,0.001354083,161.878845,-79.4397736,0,0.008219767,0,305.654816,0.074157327,0,0,0
54000,1964.44763,1723.0625,71.665802,32.9553566,0.023396725,304.890991,99.0915909,0,2032.49561,0.002098016,168.958817,-82.8806839,0,0.013038504,0,307.673065,0.093261987,0,0,0
57600,1964.44763,1723.0625,71.665802,34.6315689,0.01483442,307.515411,210.222504,0,2076.25439,0.001781593,134.52507,-65.5156631,0,0.00962683,0,309.315887,0.080126502,0,0,0
61200,1964.44763,1723.0625,71.665802,35.4277191,0.020174159,310.250702,269.059448,0,2113.60571,0.002452719,145.716949,-67.4500046,0,0.011807249,0,310.697723,0.088684686,0,0,0
64800,1964.44763,1723.0625,71.665802,35.8097,0.030418353,312.494263,251.563919,0,2139.93262,0.002429007,185.85025,-52.3904457,0,0.015529002,0,311.660736,0.101713479,0,0,0
68400,1964.44763,1723.0625,71.665802,35.7007408,0.030826092,313.796143,177.880035,0,2146.24707,0.002740886,177.345047,-39.8370705,0,0.015675128,0,311.890411,0.102244541,0,0,0
72000,1964.44763,1723.0625,71.665802,34.7546844,0.029914876,313.369049,0.059340999,0,2127.09351,0.002676799,177.583557,-10.3806028,0,0.015354494,0,311.1922,0.101154931,0,0,0
75600,1964.44763,1723.0625,71.665802,33.4637947,0.038593803,311.998047,0.000129651,0,2093.75391,0.003275355,151.707291,6.47143316,0,0.018219777,0,309.965607,0.110299192,0,0,0
79200,1964.44763,1723.0625,71.665802,31.3554897,0.09596847,309.958862,0,0,2056.86475,0.004286744,196.862198,21.3888187,0,0.033423152,0,308.591187,0.149304822,0,0,0
82800,1964.44763,1723.0625,71.665802,30.4993229,0.121033192,308.427155,0,0,2017.38342,0.005917613,163.111847,19.3624783,0,0.039002951,0,307.099548,0.161235362,0,0,0
86400,1964.44763,1723.0625,71.665802,28.8046875,0.131886691,307.137634,0,0,1988.54919,0.005693487,189.757523,19.3303013,0,0.041297149,0,305.996277,0.165898845,0,0,0
