Solution Time,CoordinateX,CoordinateY,CoordinateZ,udm-3,Turbulent Energy Dissipation,Temperature,solar-heat-flux,X-component-velocity,incident-radiation,viscosity-eff,Y Plus,Pressure,Y-component-velocity,Turbulent Kinetic Energy,Z-component-velocity,,turb-intensity,udm-1,Magnitude Velocity,udm-2
3600,1930.77258,1625.23865,52.8992119,24.4092293,0.000312717,297.422333,0,0,1805.37476,0.376702875,22354.627,36.0509453,0,0.024812723,0,298.69223,0.128645971,0,0,0
7200,1930.77258,1625.23865,52.8992119,23.7904873,0.001002808,297.345551,0,0,1776.46118,0.580927312,18956.127,28.8656025,0,0.053796191,0,297.489075,0.189205512,0,0,0
10800,1930.77258,1625.23865,52.8992119,22.8955936,0.000836166,297.081696,0,0,1768.7915,0.551659405,19692.0625,40.8053589,0,0.047416922,0,297.16745,0.177282631,0,0,0
14400,1930.77258,1625.23865,52.8992119,22.3033447,0.000197685,296.943268,0,0,1758.14392,0.248192251,15780.6113,18.2431068,0,0.018176733,0,296.719208,0.109884068,0,0,0
18000,1930.77258,1625.23865,52.8992119,20.8543968,0.000100781,296.762329,0,0,1753.47583,0.055153787,21638.5195,16.7311573,0,0.011642298,0,296.522064,0.08806739,0,0,0
21600,1930.77258,1625.23865,52.8992119,20.9583549,8.25E-05,296.6745,0,0,1749.8457,0.074533768,19000.627,27.4651947,0,0.010183165,0,296.368469,0.082343765,0,0,0
25200,1930.77258,1625.23865,52.8992119,21.9070091,8.56E-05,296.667267,0.275982469,0,1749.81616,0.049239919,16531.2656,35.063427,0,0.010449451,0,296.367218,0.083440475,0,0,0
28800,1930.77258,1625.23865,52.8992119,23.0818005,0.000375785,297.039459,61.5317192,0,1763.42041,0.32414946,24718.5254,23.8554173,0,0.02783224,0,296.941589,0.135926262,0,0,0
32400,1930.77258,1625.23865,52.8992119,25.8156662,0.000260852,298.176422,169.972137,0,1793.75671,0.30323571,15826.6895,-3.7930882,0,0.021936659,0,298.21051,0.120880917,0,0,0
36000,1930.77258,1625.23865,52.8992119,28.4065285,0.000344035,300.04715,306.218903,0,1837.95227,0.436078578,7224.43701,-58.6328773,0,0.026272956,0,300.03064,0.132073864,0,0,0
39600,1930.77258,1625.23865,52.8992119,27.9994621,0.000265311,302.598419,445.930389,0,1893.37781,0.199715778,28209.1777,-89.1755371,0,0.022198075,0,302.267456,0.121610157,0,0,0
43200,1930.77258,1625.23865,52.8992119,30.4914303,0.002627552,305.947632,570.391968,0,1950.59326,0.419310719,65454.6211,-70.1395264,0,0.102578789,0,304.525574,0.261554658,0,0,0
46800,1930.77258,1625.23865,52.8992119,32.2267609,0.003666003,309.043457,610.933228,0,2003.6366,0.475504607,61163.4062,-89.6544495,0,0.127933696,0,306.575073,0.291992038,0,0,0
50400,1930.77258,1625.23865,52.8992119,34.7400703,0.005082225,311.925629,602.604431,0,2050.41724,1.03465319,35967.0469,-82.4953384,0,0.159077212,0,308.34906,0.325591475,0,0,0
54000,1930.77258,1625.23865,52.8992119,36.0646858,0.006403406,314.280548,519.997681,0,2089.92285,1.1945442,28875.6094,-86.175293,0,0.185372159,0,309.8237,0.351313323,0,0,0
57600,1930.77258,1625.23865,52.8992119,36.9943161,0.00908376,315.827972,390.86261,0,2117.07837,1.1755383,20791.6875,-68.6076584,0,0.233872563,0,310.825256,0.394486606,0,0,0
61200,1930.77258,1625.23865,52.8992119,36.6889992,0.009145147,316.741211,250.033356,0,2129.02661,1.03895521,30658.9727,-70.675827,0,0.235134944,0,311.262878,0.395783484,0,0,0
64800,1930.77258,1625.23865,52.8992119,35.5529213,0.010392525,316.435394,3.84547758,0,2126.93677,1.06216967,46461.7148,-54.8336143,0,0.256194383,0,311.186493,0.413222075,0,0,0
68400,1930.77258,1625.23865,52.8992119,34.7631111,0.011812395,315.71405,1.0737561,0,2109.54858,1.22603393,45208.1211,-41.5104446,0,0.278923452,0,310.548523,0.43113485,0,0,0
72000,1930.77258,1625.23865,52.8992119,33.0140419,0.014923709,314.554138,0.059340999,0,2084.32202,1.38489807,50269.8594,-10.5066166,0,0.325936437,0,309.615906,0.466030568,0,0,0
75600,1930.77258,1625.23865,52.8992119,31.2905941,0.014070104,313.497375,0.000129651,0,2050.63574,1.39828122,53943.5,7.14185858,0,0.31340763,0,308.357269,0.457016915,0,0,0
79200,1930.77258,1625.23865,52.8992119,30.2052917,0.012206915,312.476379,0,0,2021.13599,1.35528696,50267.0664,22.4053764,0,0.285086632,0,307.242249,0.435878485,0,0,0
82800,1930.77258,1625.23865,52.8992119,29.2955074,0.008676157,311.675201,0,0,1997.10559,1.243191,47469.9219,20.3662205,0,0.226940766,0,306.324921,0.38883996,0,0,0
86400,1930.77258,1625.23865,52.8992119,29.2263622,0.00745095,310.921539,0,0,1980.20862,1.17592716,39751.4531,20.2796917,0,0.205224991,0,305.674927,0.36986208,0,0,0
