Solution Time,CoordinateX,CoordinateY,CoordinateZ,udm-3,Turbulent Energy Dissipation,Temperature,solar-heat-flux,X-component-velocity,incident-radiation,viscosity-eff,Y Plus,Pressure,Y-component-velocity,Turbulent Kinetic Energy,Z-component-velocity,,turb-intensity,udm-1,Magnitude Velocity,udm-2
3600,1957.61768,1795.62549,73.791832,23.4718151,0.026675006,297.440002,0,0,1811.53845,0.002531936,160.367432,33.437294,0,0.014096182,0,298.946838,0.096625611,0,0,0
7200,1957.61768,1795.62549,73.791832,22.5764732,0.017987888,297.581696,0,0,1773.66736,0.002424168,132.996414,25.4542637,0,0.010830521,0,297.372009,0.084914543,0,0,0
10800,1957.61768,1795.62549,73.791832,21.7824059,0.029533198,296.979706,0,0,1770.15576,0.002704279,158.035141,36.5807915,0,0.015084326,0,297.224731,0.100079745,0,0,0
14400,1957.61768,1795.62549,73.791832,21.5093937,0.029763233,296.766785,0,0,1755.70032,0.003354083,145.158035,13.7674417,0,0.015167417,0,296.616058,0.100453928,0,0,0
18000,1957.61768,1795.62549,73.791832,22.4028454,0.010223865,296.646271,0,0,1750.49451,0.002468949,87.4284134,12.1287432,0,0.007447934,0,296.395966,0.07035061,0,0,0
21600,1957.61768,1795.62549,73.791832,22.3187561,0.012127326,296.53598,0,0,1746.38367,0.002402696,87.8781815,22.8221455,0,0.008330839,0,296.221802,0.074445665,0,0,0
25200,1957.61768,1795.62549,73.791832,22.213335,0.013461327,296.708038,29.9712315,0,1748.11938,0.002373902,107.958595,30.4550438,0,0.008939758,0,296.295349,0.077109717,0,0,0
28800,1957.61768,1795.62549,73.791832,24.3968811,0.007595218,298.058014,112.745552,0,1765.08105,0.002494242,73.8745041,21.0581055,0,0.006061262,0,297.011475,0.063406639,0,0,0
32400,1957.61768,1795.62549,73.791832,26.9070415,0.007649352,300.195557,171.485397,0,1804.74609,0.002703712,58.8372231,-4.53948784,0,0.006115544,0,298.666199,0.063676737,0,0,0
36000,1957.61768,1795.62549,73.791832,29.5383072,0.000690456,302.561737,163.157028,0,1852.57568,0.001066472,30.0316315,-57.7348099,0,0.001250981,0,300.625671,0.028438671,0,0,0
39600,1957.61768,1795.62549,73.791832,31.1546555,0.000618059,304.352142,91.0150223,0,1902.3479,0.000951014,43.6356049,-86.9109268,0,0.001129897,0,302.624817,0.027614117,0,0,0
43200,1957.61768,1795.62549,73.791832,30.5664635,0.034846902,304.919006,19.0666046,0,1947.33057,0.003330309,164.422424,-67.6720734,0,0.016919313,0,304.398132,0.106640734,0,0,0
46800,1957.61768,1795.62549,73.791832,31.5149555,0.029056832,305.692871,20.352972,0,1980.03723,0.002918183,169.117722,-86.0917969,0,0.014978409,0,305.668304,0.099959537,0,0,0
50400,1957.61768,1795.62549,73.791832,33.283905,0.008108215,306.404327,20.0071163,0,2011.00146,0.002529018,78.3445663,-79.3623886,0,0.006353074,0,306.856384,0.064873286,0,0,0
54000,1957.61768,1795.62549,73.791832,34.2854424,0.008723849,306.929321,17.1981449,0,2033.84485,0.00277502,60.2195206,-82.694519,0,0.006724183,0,307.724091,0.067085765,0,0,0
57600,1957.61768,1795.62549,73.791832,35.1905594,0.078407154,307.154297,12.8634443,0,2051.36157,0.006156259,76.4667053,-65.4661865,0,0.029007623,0,308.384521,0.139166534,0,0,0
61200,1957.61768,1795.62549,73.791832,34.4207001,0.01127419,307.730164,8.16952515,0,2058.50073,0.002413872,110.474716,-67.2141876,0,0.007889239,0,308.652466,0.072116651,0,0,0
64800,1957.61768,1795.62549,73.791832,34.8530617,0.008318536,307.899628,3.84547758,0,2065.71558,0.002272766,87.7902298,-52.1893654,0,0.006467097,0,308.922577,0.06544739,0,0,0
68400,1957.61768,1795.62549,73.791832,34.024704,0.027673679,307.603241,1.0737561,0,2058.16211,0.003221579,124.364006,-39.6919441,0,0.014463835,0,308.639801,0.098118186,0,0,0
72000,1957.61768,1795.62549,73.791832,32.9576416,0.046425279,307.134064,0.059340999,0,2038.28833,0.003734085,151.042374,-10.5559788,0,0.020428885,0,307.892059,0.116656698,0,0,0
75600,1957.61768,1795.62549,73.791832,31.8921642,0.045888137,306.367401,0.000129651,0,2013.59509,0.004245351,124.549217,6.40261173,0,0.020218909,0,306.955261,0.115830809,0,0,0
79200,1957.61768,1795.62549,73.791832,30.5127487,0.013493903,305.802582,0,0,1986.89343,0.002849514,93.3857574,21.0026684,0,0.008957872,0,305.932556,0.077228703,0,0,0
82800,1957.61768,1795.62549,73.791832,29.1407738,0.010226112,305.040375,0,0,1965.6449,0.002811502,87.0795975,18.8206196,0,0.007386955,0,305.111328,0.069786467,0,0,0
86400,1957.61768,1795.62549,73.791832,28.1016464,0.008697845,304.448608,0,0,1945.80957,0.002496687,91.9466171,18.5583153,0,0.006672702,0,304.338684,0.066583008,0,0,0
