Solution Time,CoordinateX,CoordinateY,CoordinateZ,udm-3,Turbulent Energy Dissipation,Temperature,solar-heat-flux,X-component-velocity,incident-radiation,viscosity-eff,Y Plus,Pressure,Y-component-velocity,Turbulent Kinetic Energy,Z-component-velocity,,turb-intensity,udm-1,Magnitude Velocity,udm-2
3600,1941.81934,1758.51001,73.7116241,25.0943871,0.003041809,297.344025,0,0,1809.31677,0.001842081,49.3284416,33.3512459,0,0.003344383,0,298.855133,0.047134418,0,0,0
7200,1941.81934,1758.51001,73.7116241,23.6573849,0.000621486,297.625397,0,0,1771.98279,0.000841101,52.9790344,25.3494968,0,0.001135069,0,297.301392,0.027847692,0,0,0
10800,1941.81934,1758.51001,73.7116241,23.1674404,0.000370203,297.15155,0,0,1769.83215,0.000715268,55.1368637,36.4758987,0,0.000828743,0,297.211151,0.023456823,0,0,0
14400,1941.81934,1758.51001,73.7116241,22.6345024,0.000510052,297.010803,0,0,1754.84204,0.000719951,49.6688118,13.6060638,0,0.00102957,0,296.579803,0.026288807,0,0,0
18000,1941.81934,1758.51001,73.7116241,23.2795315,0.000185571,296.739319,0,0,1748.87439,0.000639373,15.1038723,12.0958414,0,0.000491442,0,296.327332,0.018381901,0,0,0
21600,1941.81934,1758.51001,73.7116241,22.1206818,0.000280213,296.513062,0,0,1742.39001,0.000653582,28.3580074,22.7676182,0,0.000683982,0,296.052277,0.021314658,0,0,0
25200,1941.81934,1758.51001,73.7116241,22.7013416,0.000464432,296.510132,14.548562,0,1740.13562,0.000810427,42.1524887,30.451498,0,0.000898096,0,295.956482,0.025093699,0,0,0
28800,1941.81934,1758.51001,73.7116241,23.7532597,0.000815829,297.397949,89.3815765,0,1750.74829,0.001030597,45.9160271,21.0675888,0,0.001409624,0,296.406708,0.030242104,0,0,0
32400,1941.81934,1758.51001,73.7116241,26.2253284,0.001040302,299.533752,191.104187,0,1784.89819,0.001083768,52.4467239,-4.57268476,0,0.001600105,0,297.841644,0.032245718,0,0,0
36000,1941.81934,1758.51001,73.7116241,29.0041428,9.96E-05,302.84024,274.558319,0,1839.02808,0.000488331,25.5033264,-57.6980515,0,0.00035546,0,300.074554,0.014820983,0,0,0
39600,1941.81934,1758.51001,73.7116241,30.9574432,0.004722283,306.520386,315.02002,0,1911.45605,0.001576779,81.509697,-86.8006744,0,0.004475188,0,302.98642,0.054657273,0,0,0
43200,1941.81934,1758.51001,73.7116241,31.7471008,0.213955238,308.701965,300.635712,0,1981.28589,0.006905918,262.040771,-67.1629257,0,0.057040863,0,305.716461,0.194975659,0,0,0
46800,1941.81934,1758.51001,73.7116241,34.2616234,0.011605334,312.252441,208.525604,0,2023.11133,0.002155963,112.409348,-86.2052612,0,0.00814493,0,307.317261,0.073723368,0,0,0
50400,1941.81934,1758.51001,73.7116241,34.6794586,0.072770573,312.378876,79.6711731,0,2087.07812,0.003816464,205.143127,-78.5996017,0,0.027657904,0,309.71817,0.1353513,0,0,0
54000,1941.81934,1758.51001,73.7116241,34.8314209,0.119128056,312.252136,17.1981449,0,2103.55078,0.004198,248.75296,-82.0256958,0,0.038538221,0,310.327484,0.160104096,0,0,0
57600,1941.81934,1758.51001,73.7116241,34.4356117,0.270943463,311.585419,12.8634443,0,2118.55542,0.0056945,324.234314,-64.819725,0,0.066644043,0,310.879456,0.210639805,0,0,0
61200,1941.81934,1758.51001,73.7116241,35.1261902,0.150214523,311.708832,8.16952515,0,2113.25903,0.005491754,230.561752,-66.7818222,0,0.045013864,0,310.684967,0.173209235,0,0,0
64800,1941.81934,1758.51001,73.7116241,35.7328072,0.092641093,311.786469,3.84547758,0,2117.29492,0.005187866,213.779999,-51.9240303,0,0.032630704,0,310.833191,0.147448793,0,0,0
68400,1941.81934,1758.51001,73.7116241,35.4403229,0.187387645,310.761719,1.0737561,0,2106.38672,0.007523015,194.848495,-39.3206444,0,0.052188478,0,310.432068,0.186492726,0,0,0
72000,1941.81934,1758.51001,73.7116241,34.8158836,0.194876075,309.733551,0.059340999,0,2077.65112,0.007516291,139.964249,-9.89396572,0,0.053547058,0,309.367889,0.1888064,0,0,0
75600,1941.81934,1758.51001,73.7116241,32.7390213,0.073108204,309.057404,0.000129651,0,2045.30847,0.00442419,149.660782,6.62310886,0,0.027830321,0,308.156799,0.136057526,0,0,0
79200,1941.81934,1758.51001,73.7116241,31.6325359,0.076201186,307.940399,0,0,2019.41907,0.00482933,145.437592,21.4486828,0,0.028630707,0,307.176971,0.138111472,0,0,0
82800,1941.81934,1758.51001,73.7116241,30.3184547,0.054843672,306.994354,0,0,1991.0835,0.004786027,135.455338,19.2083416,0,0.023008676,0,306.093689,0.12389823,0,0,0
86400,1941.81934,1758.51001,73.7116241,29.0819035,0.117385857,305.562073,0,0,1966.75623,0.005788941,150.575424,19.1122932,0,0.038203623,0,305.154449,0.159574315,0,0,0
