_id,station_id,station_type,channel,startup,battery,rssi,temp,hum,wavg,wmax,wdir,rain,uvidx,light
6641e6179c2a000b6cd0eef8,cws_010,1,0,1,1,6473.1,23.6,51,12.0,15.0,11.2,0.0,4.4,0.0
6641e6219c2a000b6cd0eefc,cws_010,1,0,1,1,6473.1,23.6,51,12.0,15.0,11.2,0.0,4.4,0.0
6641e62b9c2a000b6cd0eeff,cws_010,1,0,1,1,6473.1,23.6,51,12.0,15.0,11.2,0.0,4.4,0.0
6641e6359c2a000b6cd0ef03,cws_010,1,0,1,1,6473.1,23.6,51,12.0,15.0,11.2,0.0,4.4,0.0
6641e63f9c2a000b6cd0ef06,cws_010,1,0,1,1,6473.1,23.6,51,12.0,15.0,11.2,0.0,4.4,0.0
6641e6499c2a000b6cd0ef0a,cws_010,1,0,1,1,6473.1,23.6,51,12.0,15.0,11.2,0.0,4.4,0.0
6641e6549c2a000b6cd0ef0e,cws_010,1,0,1,1,6473.1,23.6,51,12.0,15.0,11.2,0.0,4.4,0.0
6641e65e9c2a000b6cd0ef11,cws_010,1,0,1,1,6473.1,23.6,51,12.0,15.0,11.2,0.0,4.4,0.0
6641e6689c2a000b6cd0ef15,cws_010,1,0,1,1,6473.1,23.6,51,12.0,15.0,11.2,0.0,4.4,0.0
6641e6729c2a000b6cd0ef19,cws_010,1,0,1,1,6473.1,23.6,51,12.0,15.0,11.2,0.0,4.4,0.0
6641e67c9c2a000b6cd0ef1c,cws_010,1,0,1,1,6473.1,23.6,51,12.0,15.0,11.2,0.0,4.4,0.0
6641e6879c2a000b6cd0ef20,cws_010,1,0,1,1,6473.1,23.6,51,12.0,15.0,11.2,0.0,4.4,0.0
6641e6919c2a000b6cd0ef24,cws_010,1,0,1,1,6473.1,23.6,51,12.0,15.0,11.2,0.0,4.4,0.0
6641e69b9c2a000b6cd0ef27,cws_010,1,0,1,1,6473.1,23.6,51,12.0,15.0,11.2,0.0,4.4,0.0
6641e6a59c2a000b6cd0ef2b,cws_010,1,0,1,1,6473.1,23.6,51,12.0,15.0,11.2,0.0,4.4,0.0
6641e6af9c2a000b6cd0ef2f,cws_010,1,0,1,1,6473.1,23.6,51,12.0,15.0,11.2,0.0,4.4,0.0
6641e6ba9c2a000b6cd0ef33,cws_010,1,0,1,1,6473.1,23.6,51,12.0,15.0,11.2,0.0,4.4,0.0
6641e6c49c2a000b6cd0ef37,cws_010,1,0,1,1,6473.1,23.6,51,12.0,15.0,11.2,0.0,4.4,0.0
6641e6ce9c2a000b6cd0ef3b,cws_010,1,0,1,1,6473.1,23.6,51,12.0,15.0,11.2,0.0,4.4,0.0
6641e6d89c2a000b6cd0ef3f,cws_010,1,0,1,1,6473.1,23.6,51,12.0,15.0,11.2,0.0,4.4,0.0
6641e6e29c2a000b6cd0ef42,cws_010,1,0,1,1,6473.1,23.6,51,12.0,15.0,11.2,0.0,4.4,0.0
6641e6ec9c2a000b6cd0ef46,cws_010,1,0,1,1,6473.1,23.6,51,12.0,15.0,11.2,0.0,4.4,0.0
6641e6f79c2a000b6cd0ef4a,cws_010,1,0,1,1,6473.1,23.6,51,12.0,15.0,11.2,0.0,4.4,0.0
6641e7019c2a000b6cd0ef4e,cws_010,1,0,1,1,6473.1,23.6,51,12.0,15.0,11.2,0.0,4.4,0.0
6641e70b9c2a000b6cd0ef52,cws_010,1,0,1,1,6473.1,23.6,51,12.0,15.0,11.2,0.0,4.4,0.0
6641e7159c2a000b6cd0ef55,cws_010,1,0,1,1,6473.1,23.6,51,12.0,15.0,11.2,0.0,4.4,0.0
6641e71f9c2a000b6cd0ef58,cws_010,1,0,1,1,6473.1,23.6,51,12.0,15.0,11.2,0.0,4.4,0.0
6641e72a9c2a000b6cd0ef5b,cws_010,1,0,1,1,6473.1,23.6,51,12.0,15.0,11.2,0.0,4.4,0.0
6641e7349c2a000b6cd0ef5e,cws_010,1,0,1,1,6473.1,23.6,51,12.0,15.0,11.2,0.0,4.4,0.0
6641e73e9c2a000b6cd0ef62,cws_010,1,0,1,1,6473.1,23.6,51,12.0,15.0,11.2,0.0,4.4,0.0
6641e7489c2a000b6cd0ef65,cws_010,1,0,1,1,6473.1,23.6,51,12.0,15.0,11.2,0.0,4.4,0.0
6641e75d9c2a000b6cd0ef6c,cws_010,1,0,1,1,6473.1,23.6,51,12.0,15.0,11.2,0.0,4.4,0.0
6641e7679c2a000b6cd0ef70,cws_010,1,0,1,1,6473.1,23.6,51,12.0,15.0,11.2,0.0,4.4,0.0
6641e7719c2a000b6cd0ef74,cws_010,1,0,1,1,6473.1,23.6,51,12.0,15.0,11.2,0.0,4.4,0.0
6641e77b9c2a000b6cd0ef78,cws_010,1,0,1,1,6473.1,23.6,51,12.0,15.0,11.2,0.0,4.4,0.0
6641e7859c2a000b6cd0ef7c,cws_010,1,0,1,1,6473.1,23.6,51,12.0,15.0,11.2,0.0,4.4,0.0
6641e78f9c2a000b6cd0ef7f,cws_010,1,0,1,1,6473.1,23.6,51,12.0,15.0,11.2,0.0,4.4,0.0
