time,station_id,battery_volt,rssi,temperature,hummidity,wind_max,wind_average,wind_direction,rain,station_name
2024-06-08 02:51:48,1970559302,1,-97.5,24.3,41,8.0,8.0,315,0.0,cws-009
2024-06-08 02:52:48,1970559302,1,-97.5,24.3,41,8.0,8.0,315,0.0,cws-009
2024-06-08 02:53:48,1970559302,1,-97.5,24.3,41,8.0,8.0,315,0.0,cws-009
2024-06-08 02:54:48,1970559302,1,-97.5,24.3,41,8.0,8.0,315,0.0,cws-009
2024-06-08 02:55:48,1970559302,1,-97.5,24.3,41,8.0,8.0,315,0.0,cws-009
2024-06-08 02:56:48,1970559302,1,-97.5,24.3,41,8.0,8.0,315,0.0,cws-009
2024-06-08 02:57:48,1970559302,1,-97.5,24.3,41,8.0,8.0,315,0.0,cws-009
2024-06-08 02:58:49,1970559302,1,-97.5,24.3,41,8.0,8.0,315,0.0,cws-009
2024-06-08 02:59:49,1970559302,1,-97.5,24.3,41,8.0,8.0,315,0.0,cws-009
2024-06-08 03:00:49,1970559302,1,-97.5,24.3,41,8.0,8.0,315,0.0,cws-009
2024-06-08 03:01:49,1970559302,1,-97.5,24.3,41,8.0,8.0,315,0.0,cws-009
2024-06-08 03:02:49,1970559302,1,-97.5,24.3,41,8.0,8.0,315,0.0,cws-009
2024-06-08 03:03:49,1970559302,1,-97.5,24.3,41,8.0,8.0,315,0.0,cws-009
2024-06-08 03:04:49,1970559302,1,-97.5,24.3,41,8.0,8.0,315,0.0,cws-009
2024-06-08 03:05:49,1970559302,1,-97.5,24.3,41,8.0,8.0,315,0.0,cws-009
2024-06-08 03:06:49,1970559302,1,-97.5,24.3,41,8.0,8.0,315,0.0,cws-009
2024-06-08 03:07:49,1970559302,1,-97.5,24.3,41,8.0,8.0,315,0.0,cws-009
2024-06-08 03:08:49,1970559302,1,-97.5,24.3,41,8.0,8.0,315,0.0,cws-009
2024-06-08 03:09:49,1970559302,1,-97.5,24.3,41,8.0,8.0,315,0.0,cws-009
2024-06-08 03:10:49,1970559302,1,-97.5,24.3,41,8.0,8.0,315,0.0,cws-009
2024-06-08 03:11:49,1970559302,1,-97.5,24.3,41,8.0,8.0,315,0.0,cws-009
2024-06-08 03:12:49,1970559302,1,-97.5,24.3,41,8.0,8.0,315,0.0,cws-009
2024-06-08 03:13:49,1970559302,1,-97.5,24.3,41,8.0,8.0,315,0.0,cws-009
2024-06-08 03:14:49,1970559302,1,-97.5,24.3,41,8.0,8.0,315,0.0,cws-009
2024-06-08 03:15:49,1970559302,1,-97.5,24.3,41,8.0,8.0,315,0.0,cws-009
2024-06-08 03:16:49,1970559302,1,-97.5,24.3,41,8.0,8.0,315,0.0,cws-009
2024-06-08 03:17:49,1970559302,1,-97.5,24.3,41,8.0,8.0,315,0.0,cws-009
2024-06-08 03:18:49,1970559302,1,-97.5,24.3,41,8.0,8.0,315,0.0,cws-009
2024-06-08 03:19:49,1970559302,1,-97.5,24.3,41,8.0,8.0,315,0.0,cws-009
2024-06-08 03:20:49,1970559302,1,-97.5,24.3,41,8.0,8.0,315,0.0,cws-009
2024-06-08 03:21:49,1970559302,1,-97.5,24.3,41,8.0,8.0,315,0.0,cws-009
2024-06-08 03:22:49,1970559302,1,-97.5,24.3,41,8.0,8.0,315,0.0,cws-009
2024-06-08 03:23:49,1970559302,1,-97.5,24.3,41,8.0,8.0,315,0.0,cws-009
2024-06-08 03:24:50,1970559302,1,-97.5,24.3,41,8.0,8.0,315,0.0,cws-009
2024-06-08 03:25:50,1970559302,1,-97.5,24.3,41,8.0,8.0,315,0.0,cws-009
2024-06-08 03:26:50,1970559302,1,-97.5,24.3,41,8.0,8.0,315,0.0,cws-009
2024-06-08 03:27:50,1970559302,1,-97.5,24.3,41,8.0,8.0,315,0.0,cws-009
2024-06-08 03:28:50,1970559302,1,-97.5,24.3,41,8.0,8.0,315,0.0,cws-009
2024-06-08 03:29:50,1970559302,1,-97.5,24.3,41,8.0,8.0,315,0.0,cws-009
2024-06-08 03:30:50,1970559302,1,-97.5,24.3,41,8.0,8.0,315,0.0,cws-009
2024-06-08 03:31:50,1970559302,1,-97.5,24.3,41,8.0,8.0,315,0.0,cws-009
2024-06-08 03:32:50,1970559302,1,-97.5,24.3,41,8.0,8.0,315,0.0,cws-009
2024-06-08 03:33:50,1970559302,1,-97.5,24.3,41,8.0,8.0,315,0.0,cws-009
2024-06-08 03:34:50,1970559302,1,-97.5,24.3,41,8.0,8.0,315,0.0,cws-009
2024-06-08 03:35:50,1970559302,1,-97.5,24.3,41,8.0,8.0,315,0.0,cws-009
2024-06-08 03:36:50,1970559302,1,-97.5,24.3,41,8.0,8.0,315,0.0,cws-009
2024-06-08 03:37:50,1970559302,1,-97.5,24.3,41,8.0,8.0,315,0.0,cws-009
2024-06-08 03:38:50,1970559302,1,-97.5,24.3,41,8.0,8.0,315,0.0,cws-009
2024-06-08 03:39:50,1970559302,1,-97.5,24.3,41,8.0,8.0,315,0.0,cws-009
2024-06-08 03:40:50,1970559302,1,-97.5,24.3,41,8.0,8.0,315,0.0,cws-009
2024-06-08 03:41:50,1970559302,1,-97.5,24.3,41,8.0,8.0,315,0.0,cws-009
2024-06-08 03:42:50,1970559302,1,-97.5,24.3,41,8.0,8.0,315,0.0,cws-009
2024-06-08 03:43:50,1970559302,1,-97.5,24.3,41,8.0,8.0,315,0.0,cws-009
2024-06-08 03:44:50,1970559302,1,-97.5,24.3,41,8.0,8.0,315,0.0,cws-009
2024-06-08 03:45:50,1970559302,1,-97.5,24.3,41,8.0,8.0,315,0.0,cws-009
2024-06-08 03:46:50,1970559302,1,-97.5,24.3,41,8.0,8.0,315,0.0,cws-009
2024-06-08 03:47:50,1970559302,1,-97.5,24.3,41,8.0,8.0,315,0.0,cws-009
2024-06-08 03:48:50,1970559302,1,-97.5,24.3,41,8.0,8.0,315,0.0,cws-009
2024-06-08 03:49:51,1970559302,1,-97.5,24.3,41,8.0,8.0,315,0.0,cws-009
2024-06-08 03:50:51,1970559302,1,-97.5,24.3,41,8.0,8.0,315,0.0,cws-009
2024-06-08 03:51:51,1970559302,1,-97.5,24.3,41,8.0,8.0,315,0.0,cws-009
2024-06-08 03:52:51,1970559302,1,-97.5,24.3,41,8.0,8.0,315,0.0,cws-009
2024-06-08 03:53:51,1970559302,1,-97.5,24.3,41,8.0,8.0,315,0.0,cws-009
2024-06-08 03:54:51,1970559302,1,-97.5,24.3,41,8.0,8.0,315,0.0,cws-009
2024-06-08 03:55:51,1970559302,1,-97.5,24.3,41,8.0,8.0,315,0.0,cws-009
2024-06-08 03:56:51,1970559302,1,-97.5,24.3,41,8.0,8.0,315,0.0,cws-009
2024-06-08 03:57:51,1970559302,1,-97.5,24.3,41,8.0,8.0,315,0.0,cws-009
2024-06-08 03:58:51,1970559302,1,-97.5,24.3,41,8.0,8.0,315,0.0,cws-009
2024-06-08 03:59:51,1970559302,1,-97.5,24.3,41,8.0,8.0,315,0.0,cws-009
2024-06-08 04:00:51,1970559302,1,-97.5,24.3,41,8.0,8.0,315,0.0,cws-009
2024-06-08 04:01:51,1970559302,1,-101.5,24.5,40,7.0,7.0,338,0.0,cws-009
2024-06-08 04:02:51,1970559302,1,-101.5,24.5,40,7.0,7.0,338,0.0,cws-009
2024-06-08 04:03:51,1970559302,1,-101.5,24.5,40,7.0,7.0,338,0.0,cws-009
