[Name]
y-component
[Data]
time,velocity
0,0.46887735418712845
3600,0.46887735418712845
7200,0.46887735418712845
10800,0.020845929911199854
14400,7.994222161100778e-17
18000,0.5812012044025938
21600,0.9563047559630354
25200,0.35947089597572324
28800,0.15435393570393816
32400,1.6087617797845533
36000,1.9428649036424273
39600,2.3012621336311008
43200,1.865233625920018
46800,1.9837955327702512
50400,2.2771703408165678
54000,2.0
57600,1.81571653677238
61200,2.0346534586326723
64800,1.6520594468188587
68400,1.3481910694487502
72000,0.9510565162951535
75600,0.6738164765805531
79200,1.1537447369563871
82800,0.3576653297986487
86400,0.3576653297986487
