[Name]
y-component
[Data]
time,velocity
0,-0.6882917236212553
3600,-0.6882917236212553
7200,-0.6882917236212553
10800,-0.7380476871464061
14400,-0.9009219000362029
18000,-1.8578620636934853
21600,-0.03829833634848319
25200,-0.7197197624110531
28800,0.03296565660375791
32400,-1.269500122131702
36000,0.09791247685979469
39600,-1.8196064047168998
43200,-1.0128787027555983
46800,-0.5296309675424709
50400,-0.3061534125436612
54000,-0.7621225575381941
57600,-0.42609474232188477
61200,0.18899095309951988
64800,4.148467788301215
68400,0.45005310573573015
72000,0.8170481201668756
75600,0.09885680623667194
79200,-0.14768056410019864
82800,-0.5878313899920884
86400,-0.5878313899920884
