[Name]
windspeed
[Data]
time,windspeed
0,1.2
3600,1.2
7200,1.2
10800,1.1944444444444444
14400,1.3055555555555556
18000,0.6111111111111112
21600,1.0
25200,1.3888888888888888
28800,0.888888888888889
32400,1.8055555555555556
36000,2.5
39600,2.5
43200,2.305555555555556
46800,2.111111111111111
50400,2.305555555555556
54000,2.0
57600,1.8888888888888888
61200,2.1944444444444446
64800,1.8888888888888888
68400,1.5
72000,1.0
75600,0.6944444444444444
79200,1.1944444444444444
82800,0.6944444444444444
86400,0.6944444444444444
