[Name]
x-component
[Data]
time,velocity
0,0.8840194625495763
3600,0.357974109675949
7200,2.0164843247936073
10800,1.194262524770134
14400,1.3055555555555556
18000,-0.18884371878469025
21600,0.29237170472273677
25200,1.3415636476237058
28800,0.875384669344185
32400,0.8197050689741816
36000,1.5733009776245934
39600,0.9768278212231845
43200,1.3551715538965354
46800,0.722042524798634
50400,0.36066834995386565
54000,0.0
57600,-0.5206483387654425
61200,-0.8220533577738077
64800,-0.9157515049097474
68400,-0.6575567201836167
72000,-0.3090169943749477
75600,-0.16800131638865823
79200,0.309144970539122
82800,0.5952550699320225
86400,0.5952550699320225
