[Name]
humidity
[Data]
time,humidity
0,71.0
3600,70.0
7200,64.0
10800,63.0
14400,69.0
18000,64.0
21600,65.0
25200,66.0
28800,63.0
32400,69.0
36000,81.0
39600,76.0
43200,75.0
46800,75.0
50400,75.0
54000,72.0
57600,69.0
61200,65.0
64800,64.0
68400,65.0
72000,65.0
75600,68.0
79200,66.0
82800,66.0
86400,66.0
