[Name]
windspeed
[Data]
time,windspeed
0,2.111111111111111
3600,1.6944444444444442
7200,2.111111111111111
10800,1.8888888888888888
14400,1.611111111111111
18000,2.5
21600,2.1944444444444446
25200,2.611111111111111
28800,1.8888888888888888
32400,3.3888888888888884
36000,2.8055555555555554
39600,4.305555555555555
43200,3.1111111111111107
46800,3.8055555555555554
50400,4.388888888888889
54000,4.388888888888889
57600,4.888888888888889
61200,3.611111111111111
64800,5.194444444444444
68400,4.305555555555555
72000,2.388888888888889
75600,1.8888888888888888
79200,1.6944444444444442
82800,1.8055555555555556
86400,1.8055555555555556
