[Name]
windspeed
[Data]
time,windspeed
0,1.2
3600,1.2
7200,1.2
10800,1.3055555555555556
14400,1.3055555555555556
18000,1.5
21600,1.611111111111111
25200,1.3055555555555556
28800,1.6944444444444442
32400,1.611111111111111
36000,1.8055555555555556
39600,2.611111111111111
43200,2.694444444444444
46800,3.194444444444444
50400,2.888888888888889
54000,3.3055555555555554
57600,3.0
61200,3.1111111111111107
64800,2.388888888888889
68400,2.0
72000,2.0
75600,1.3888888888888888
79200,1.3888888888888888
82800,1.1944444444444444
86400,1.1944444444444444
