[Name]
GlobalSolarIrrad
[Data]
time,irradiation
0,0.0
3600,0.0
7200,0.0
10800,0.0
14400,0.0
18000,0.0
21600,0.0
25200,105.0
28800,267.0
32400,465.0
36000,640.0
39600,794.0
43200,915.0
46800,969.0
50400,973.0
54000,928.0
57600,820.0
61200,676.0
64800,507.0
68400,334.0
72000,140.0
75600,9.0
79200,0.0
82800,0.0
86400,0.0
