[Name]
GlobalSolarIrrad
[Data]
time,irradiation
0,0.0
3600,0.0
7200,0.0
10800,0.0
14400,0.0
18000,0.0
21600,0.0
25200,5.0
28800,46.0
32400,88.0
36000,51.0
39600,160.0
43200,167.0
46800,107.0
50400,118.0
54000,199.0
57600,184.0
61200,112.0
64800,12.0
68400,0.0
72000,0.0
75600,0.0
79200,0.0
82800,0.0
86400,0.0
