[Name]
x-component
[Data]
time,velocity
0,-0.16700772115207863
3600,-0.16700772115207863
7200,-0.16700772115207863
10800,-1.1979532650709392
14400,-0.9231671865491037
18000,-0.4455032620941839
21600,-1.0949310192620816
25200,-0.7577759556249982
28800,-1.2866905439650826
32400,-1.9708920114940924
36000,-2.305555555555556
39600,-2.9234881535561588
43200,-2.853169548885461
46800,-3.264858681411705
50400,-3.042779932245567
54000,-2.9416133463089857
57600,-3.1457791620470847
61200,-3.204257395086574
64800,-3.6938817626611122
68400,-2.8673555491860414
72000,-3.4952033716410082
75600,-2.3874336423233955
79200,-2.2845058059116954
82800,-1.6851621004851296
86400,-1.6851621004851296
