Datetime,Ux (m/s),Uy (m/s)
2024-04-12 00:00:00,1.1883216824898843,0.16700772115207854
2024-04-12 01:00:00,1.1883216824898843,0.16700772115207854
2024-04-12 02:00:00,1.1883216824898843,0.16700772115207854
2024-04-12 03:00:00,0.18271800959725992,0.06650391675776893
2024-04-12 04:00:00,-0.085116049235442,-0.07142084552072661
2024-04-12 05:00:00,-0.010176435936127914,-0.1941779650911671
2024-04-12 06:00:00,0.3531323126912011,-0.7240285372965511
2024-04-12 07:00:00,0.2812653718882457,0.1193900670383892
2024-04-12 08:00:00,0.7698003589195012,-0.44444444444444425
2024-04-12 09:00:00,-0.1885370745402421,0.340129886109765
2024-04-12 10:00:00,2.3023958717952677,-0.12066345467123164
2024-04-12 11:00:00,-0.6339273926110488,1.359461680554975
2024-04-12 12:00:00,-1.1856790121058505,2.542696846963935
2024-04-12 13:00:00,0.4866850023473849,3.0728081707404282
2024-04-12 14:00:00,0.6787253182101789,2.7222185653854343
2024-04-12 15:00:00,0.6787253182101789,2.7222185653854343
2024-04-12 16:00:00,0.3479327524001636,2.475670171853926
2024-04-12 17:00:00,1.2108835878522084,1.7293209823878717
2024-04-12 18:00:00,0.2809765417396456,2.288370294061937
2024-04-12 19:00:00,0.6781206265450235,2.0870406885365873
2024-04-12 20:00:00,-0.3756606771028438,0.8056069218103556
2024-04-12 21:00:00,-0.4755282581475768,0.15450849718747361
2024-04-12 22:00:00,0.8011426379355534,-0.08420348429894313
2024-04-12 23:00:00,-0.6483197406230566,-0.24886663162868103
