Datetime,Ux (m/s),Uy (m/s)
2024-06-08 00:00:00,-3.658134787320825,-1.0489532707480236
2024-06-08 01:00:00,-2.696873091382506,-0.7733159149310246
2024-06-08 02:00:00,-2.2657694675916256,-1.056545654351748
2024-06-08 03:00:00,-1.9804786455481556,-1.3358497138467835
2024-06-08 04:00:00,-1.69566883143984,-2.093976618370171
2024-06-08 05:00:00,-2.0725939313876047,-1.3979822586768664
2024-06-08 06:00:00,-1.9193043573336743,-1.0638877777627949
2024-06-08 07:00:00,-2.054265041878737,-1.0467003188439554
2024-06-08 08:00:00,-4.346666218300808,-1.1646857029613429
2024-06-08 09:00:00,-4.623125284973976,-0.8151817229364228
2024-06-08 10:00:00,-4.482876141412855,-0.3922008423644621
2024-06-08 11:00:00,-6.087856488338445,-0.5326184279023559
2024-06-08 12:00:00,-6.281561012967395,-0.5495653778810673
2024-06-08 13:00:00,-6.035681234641873,-1.3934468088522765
2024-06-08 14:00:00,-5.65199891906864,-0.6939782055015326
2024-06-08 15:00:00,-5.499162323360152,0.09598823540505722
2024-06-08 16:00:00,-5.336444592662906,-0.7499883773959102
2024-06-08 17:00:00,-5.385606123380682,-0.18806951000792074
2024-06-08 18:00:00,-5.302323554462426,0.18516121861604848
2024-06-08 19:00:00,-4.2188707766181786,-1.2097417283079397
2024-06-08 20:00:00,-4.913115334795853,-1.4088131519535498
2024-06-08 21:00:00,-3.380633725880515,-0.23639693879953666
2024-06-08 22:00:00,-3.7587028517092738,-0.5953200475142125
2024-06-08 23:00:00,-4.071102060382011,-0.5721560817247151
