[Name]
humidity
[Data]
time,humidity
0,94.0
3600,91.0
7200,85.0
10800,79.0
14400,65.0
18000,91.0
21600,90.0
25200,83.0
28800,60.0
32400,47.0
36000,51.0
39600,54.0
43200,52.0
46800,54.0
50400,60.0
54000,63.0
57600,63.0
61200,63.0
64800,66.0
68400,72.0
72000,80.0
75600,85.0
79200,85.0
82800,91.0
86400,91.0
