Datetime,Wind Direction (deg)
2024-04-23 00:00:00,313.0
2024-04-23 01:00:00,313.0
2024-04-23 02:00:00,313.0
2024-04-23 03:00:00,286.0
2024-04-23 04:00:00,291.0
2024-04-23 05:00:00,299.0
2024-04-23 06:00:00,335.0
2024-04-23 07:00:00,353.0
2024-04-23 08:00:00,335.0
2024-04-23 09:00:00,318.0
2024-04-23 10:00:00,333.0
2024-04-23 11:00:00,350.0
2024-04-23 12:00:00,147.0
2024-04-23 13:00:00,255.0
2024-04-23 14:00:00,171.0
2024-04-23 15:00:00,163.0
2024-04-23 16:00:00,192.0
2024-04-23 17:00:00,174.0
2024-04-23 18:00:00,112.0
2024-04-23 19:00:00,99.0
2024-04-23 20:00:00,119.0
2024-04-23 21:00:00,153.0
2024-04-23 22:00:00,116.0
2024-04-23 23:00:00,228.0
