[Name]
windspeed
[Data]
time,windspeed
0,1.3888888888888888
3600,0.888888888888889
7200,0.19444444444444442
10800,0.3055555555555556
14400,0.3055555555555556
18000,0.11111111111111112
21600,1.1111111111111112
25200,1.8888888888888888
28800,1.0
32400,1.5
36000,1.6944444444444442
39600,2.388888888888889
43200,3.8055555555555554
46800,4.305555555555555
50400,4.5
54000,4.194444444444445
57600,4.5
61200,3.6944444444444446
64800,4.194444444444445
68400,3.611111111111111
72000,2.305555555555556
75600,1.0
79200,0.19444444444444442
82800,0.5
86400,0.5
