Datetime,Wind Direction (deg)
2024-05-24 00:00:00,8.0
2024-05-24 01:00:00,8.0
2024-05-24 02:00:00,8.0
2024-05-24 03:00:00,53.0
2024-05-24 04:00:00,45.0
2024-05-24 05:00:00,63.0
2024-05-24 06:00:00,57.0
2024-05-24 07:00:00,43.0
2024-05-24 08:00:00,53.0
2024-05-24 09:00:00,69.0
2024-05-24 10:00:00,90.0
2024-05-24 11:00:00,110.0
2024-05-24 12:00:00,108.0
2024-05-24 13:00:00,99.0
2024-05-24 14:00:00,113.0
2024-05-24 15:00:00,109.0
2024-05-24 16:00:00,116.0
2024-05-24 17:00:00,109.0
2024-05-24 18:00:00,91.0
2024-05-24 19:00:00,97.0
2024-05-24 20:00:00,93.0
2024-05-24 21:00:00,88.0
2024-05-24 22:00:00,73.0
2024-05-24 23:00:00,84.0
