Datetime,Wind Direction (deg)
2024-03-17 00:00:00,247.0
2024-03-17 01:00:00,247.0
2024-03-17 02:00:00,247.0
2024-03-17 03:00:00,269.0
2024-03-17 04:00:00,270.0
2024-03-17 05:00:00,162.0
2024-03-17 06:00:00,197.0
2024-03-17 07:00:00,255.0
2024-03-17 08:00:00,260.0
2024-03-17 09:00:00,207.0
2024-03-17 10:00:00,219.0
2024-03-17 11:00:00,203.0
2024-03-17 12:00:00,216.0
2024-03-17 13:00:00,200.0
2024-03-17 14:00:00,189.0
2024-03-17 15:00:00,180.0
2024-03-17 16:00:00,164.0
2024-03-17 17:00:00,158.0
2024-03-17 18:00:00,151.0
2024-03-17 19:00:00,154.0
2024-03-17 20:00:00,162.0
2024-03-17 21:00:00,166.0
2024-03-17 22:00:00,195.0
2024-03-17 23:00:00,239.0
