[Name]
humidity
[Data]
time,humidity
0,81.0
3600,85.0
7200,92.0
10800,85.0
14400,84.0
18000,85.0
21600,88.0
25200,87.0
28800,84.0
32400,80.0
36000,87.0
39600,85.0
43200,80.0
46800,78.0
50400,75.0
54000,68.0
57600,68.0
61200,69.0
64800,72.0
68400,75.0
72000,76.0
75600,78.0
79200,77.0
82800,77.0
86400,77.0
