[Name]
humidity
[Data]
time,humidity
0,100.0
3600,81.0
7200,68.0
10800,79.0
14400,79.0
18000,78.0
21600,85.0
25200,83.0
28800,79.0
32400,67.0
36000,69.0
39600,73.0
43200,72.0
46800,70.0
50400,73.0
54000,73.0
57600,73.0
61200,82.0
64800,88.0
68400,91.0
72000,94.0
75600,94.0
79200,97.0
82800,100.0
86400,100.0
