[Name]
humidity
[Data]
time,humidity
0,82.0
3600,85.0
7200,73.0
10800,65.0
14400,57.0
18000,60.0
21600,55.0
25200,56.0
28800,55.0
32400,53.0
36000,52.0
39600,53.0
43200,54.0
46800,56.0
50400,58.0
54000,55.0
57600,58.0
61200,60.0
64800,65.0
68400,71.0
72000,76.0
75600,81.0
79200,78.0
82800,80.0
86400,80.0
