[Name]
windspeed
[Data]
time,windspeed
0,1.0
3600,1.1944444444444444
7200,1.1944444444444444
10800,1.3055555555555556
14400,1.3888888888888888
18000,1.3055555555555556
21600,1.1944444444444444
25200,2.0
28800,1.1944444444444444
32400,1.6944444444444442
36000,2.1944444444444446
39600,1.6944444444444442
43200,2.388888888888889
46800,2.5
50400,3.0
54000,2.388888888888889
57600,2.8055555555555554
61200,2.1944444444444446
64800,2.305555555555556
68400,1.6944444444444442
72000,1.8055555555555556
75600,1.3888888888888888
79200,1.3055555555555556
82800,1.6944444444444442
86400,1.6944444444444442
