[Name]
x-component
[Data]
time,velocity
0,-1.1970768603117892
3600,-1.1970768603117892
7200,-1.1970768603117892
10800,-2.1802721206435636
14400,1.9096457764500565
18000,2.0410725346371335
21600,0.941235066808029
25200,1.554291922913942
28800,1.2966394812461135
32400,1.9966696809474562
36000,2.45406795861916
39600,2.7474966026304437
43200,2.8637928774075916
46800,1.7024869698415679
50400,1.4687712111070563
54000,2.01213865713885
57600,1.694444444444444
61200,0.10857621196333633
64800,-1.5082965963219368
68400,-1.8867739505569305
72000,-1.8283842540479258
75600,-1.565959859270634
79200,-1.5912756598477218
82800,-2.4965738368864345
86400,-2.4965738368864345
