Datetime,Wind Direction (deg)
2024-06-10 00:00:00,275.0
2024-06-10 01:00:00,275.0
2024-06-10 02:00:00,275.0
2024-06-10 03:00:00,318.0
2024-06-10 04:00:00,326.0
2024-06-10 05:00:00,3.0
2024-06-10 06:00:00,327.0
2024-06-10 07:00:00,328.0
2024-06-10 08:00:00,308.0
2024-06-10 09:00:00,60.0
2024-06-10 10:00:00,73.0
2024-06-10 11:00:00,143.0
2024-06-10 12:00:00,86.0
2024-06-10 13:00:00,117.0
2024-06-10 14:00:00,125.0
2024-06-10 15:00:00,114.0
2024-06-10 16:00:00,123.0
2024-06-10 17:00:00,150.0
2024-06-10 18:00:00,100.0
2024-06-10 19:00:00,133.0
2024-06-10 20:00:00,167.0
2024-06-10 21:00:00,188.0
2024-06-10 22:00:00,92.0
2024-06-10 23:00:00,56.0
