[Name]
airtemp-K
[Data]
time,temperature
0,289.04999999999995
3600,288.84999999999997
7200,287.25
10800,287.45
14400,286.95
18000,287.04999999999995
21600,286.95
25200,286.25
28800,288.15
32400,291.84999999999997
36000,293.84999999999997
39600,296.15
43200,296.75
46800,296.54999999999995
50400,296.75
54000,296.25
57600,296.34999999999997
61200,296.34999999999997
64800,295.84999999999997
68400,294.15
72000,292.45
75600,290.95
79200,290.15
82800,290.04999999999995
86400,290.04999999999995
