Datetime,Wind Direction (deg)
2024-06-08 00:00:00,74.0
2024-06-08 01:00:00,74.0
2024-06-08 02:00:00,65.0
2024-06-08 03:00:00,56.0
2024-06-08 04:00:00,39.0
2024-06-08 05:00:00,56.0
2024-06-08 06:00:00,61.0
2024-06-08 07:00:00,63.0
2024-06-08 08:00:00,75.0
2024-06-08 09:00:00,80.0
2024-06-08 10:00:00,85.0
2024-06-08 11:00:00,85.0
2024-06-08 12:00:00,85.0
2024-06-08 13:00:00,77.0
2024-06-08 14:00:00,83.0
2024-06-08 15:00:00,91.0
2024-06-08 16:00:00,82.0
2024-06-08 17:00:00,88.0
2024-06-08 18:00:00,92.0
2024-06-08 19:00:00,74.0
2024-06-08 20:00:00,74.0
2024-06-08 21:00:00,86.0
2024-06-08 22:00:00,81.0
2024-06-08 23:00:00,82.0
