[Name]
humidity
[Data]
time,humidity
0,78.0
3600,79.0
7200,79.0
10800,70.0
14400,76.0
18000,74.0
21600,76.0
25200,71.0
28800,68.0
32400,62.0
36000,57.0
39600,47.0
43200,42.0
46800,49.0
50400,50.0
54000,48.0
57600,47.0
61200,48.0
64800,54.0
68400,56.0
72000,66.0
75600,70.0
79200,73.0
82800,75.0
86400,75.0
