Datetime,Wind Direction (deg)
2024-03-24 00:00:00,173.0
2024-03-24 01:00:00,128.0
2024-03-24 02:00:00,83.0
2024-03-24 03:00:00,38.0
2024-03-24 04:00:00,92.0
2024-03-24 05:00:00,88.0
2024-03-24 06:00:00,58.0
2024-03-24 07:00:00,49.0
2024-03-24 08:00:00,222.0
2024-03-24 09:00:00,182.0
2024-03-24 10:00:00,134.0
2024-03-24 11:00:00,142.0
2024-03-24 12:00:00,157.0
2024-03-24 13:00:00,174.0
2024-03-24 14:00:00,167.0
2024-03-24 15:00:00,182.0
2024-03-24 16:00:00,194.0
2024-03-24 17:00:00,192.0
2024-03-24 18:00:00,192.0
2024-03-24 19:00:00,193.0
2024-03-24 20:00:00,197.0
2024-03-24 21:00:00,181.0
2024-03-24 22:00:00,147.0
2024-03-24 23:00:00,167.0
