[Name]
humidity
[Data]
time,humidity
0,100.0
3600,100.0
7200,88.0
10800,91.0
14400,91.0
18000,96.0
21600,96.0
25200,92.0
28800,81.0
32400,73.0
36000,70.0
39600,68.0
43200,66.0
46800,67.0
50400,66.0
54000,64.0
57600,62.0
61200,61.0
64800,61.0
68400,66.0
72000,71.0
75600,78.0
79200,85.0
82800,92.0
86400,92.0
