Datetime,Wind Direction (deg)
2024-04-01 00:00:00,290.0
2024-04-01 01:00:00,305.0
2024-04-01 02:00:00,282.0
2024-04-01 03:00:00,293.0
2024-04-01 04:00:00,304.0
2024-04-01 05:00:00,318.0
2024-04-01 06:00:00,271.0
2024-04-01 07:00:00,286.0
2024-04-01 08:00:00,269.0
2024-04-01 09:00:00,292.0
2024-04-01 10:00:00,268.0
2024-04-01 11:00:00,295.0
2024-04-01 12:00:00,289.0
2024-04-01 13:00:00,278.0
2024-04-01 14:00:00,274.0
2024-04-01 15:00:00,280.0
2024-04-01 16:00:00,275.0
2024-04-01 17:00:00,267.0
2024-04-01 18:00:00,217.0
2024-04-01 19:00:00,264.0
2024-04-01 20:00:00,250.0
2024-04-01 21:00:00,267.0
2024-04-01 22:00:00,275.0
2024-04-01 23:00:00,289.0
