[Name]
y-component
[Data]
time,velocity
0,-1.0489532707480236
3600,-0.9938257995846237
7200,-1.4392499691502696
10800,-1.7925239183478927
14400,-2.3357553619345617
18000,-1.5688467569595939
21600,-1.0638877777627949
25200,-1.0467003188439554
28800,-1.1646857029613429
32400,-0.8151817229364228
36000,-0.3922008423644621
39600,-0.5326184279023559
43200,-0.5495653778810673
46800,-1.3934468088522765
50400,-0.6939782055015326
54000,0.09598823540505722
57600,-0.7499883773959102
61200,-0.18806951000792074
64800,0.18516121861604848
68400,-1.2097417283079397
72000,-1.4088131519535498
75600,-0.23639693879953666
79200,-0.5953200475142125
82800,-0.5721560817247151
86400,-0.5721560817247151
