[Name]
windspeed
[Data]
time,windspeed
0,2.111111111111111
3600,1.9111111111111112
7200,1.7111111111111112
10800,1.5111111111111113
14400,1.3111111111111113
18000,1.1111111111111114
21600,1.3055555555555556
25200,1.1111111111111112
28800,1.611111111111111
32400,2.111111111111111
36000,2.305555555555556
39600,3.1111111111111107
43200,3.0
46800,3.3055555555555554
50400,3.3055555555555554
54000,3.1111111111111107
57600,3.5
61200,3.3888888888888884
64800,3.6944444444444446
68400,2.888888888888889
72000,3.5
75600,2.388888888888889
79200,2.388888888888889
82800,1.6944444444444442
86400,1.6944444444444442
