[Name]
windspeed
[Data]
time,windspeed
0,3.8055555555555554
3600,3.605555555555555
7200,3.405555555555555
10800,3.205555555555555
14400,3.0055555555555546
18000,2.8055555555555545
21600,2.1944444444444446
25200,2.305555555555556
28800,4.5
32400,4.694444444444444
36000,4.5
39600,6.111111111111111
43200,6.305555555555555
46800,6.194444444444445
50400,5.694444444444445
54000,5.5
57600,5.388888888888888
61200,5.388888888888888
64800,5.305555555555556
68400,4.388888888888889
72000,5.111111111111111
75600,3.3888888888888884
79200,3.8055555555555554
82800,4.111111111111112
86400,4.111111111111112
