[Name]
GlobalSolarIrrad
[Data]
time,irradiation
0,0.0
3600,0.0
7200,0.0
10800,0.0
14400,0.0
18000,0.0
21600,0.0
25200,36.0
28800,102.0
32400,196.0
36000,263.0
39600,564.0
43200,677.0
46800,665.0
50400,618.0
54000,911.0
57600,709.0
61200,663.0
64800,477.0
68400,278.0
72000,75.0
75600,3.0
79200,0.0
82800,0.0
86400,0.0
