[Name]
humidity
[Data]
time,humidity
0,46.0
3600,57.0
7200,46.0
10800,39.0
14400,37.0
18000,39.0
21600,41.0
25200,35.0
28800,34.0
32400,28.0
36000,24.0
39600,21.0
43200,20.0
46800,17.0
50400,16.0
54000,17.0
57600,20.0
61200,19.0
64800,26.0
68400,28.0
72000,30.0
75600,34.0
79200,41.0
82800,43.0
86400,43.0
