[Name]
x-component
[Data]
time,velocity
0,1.9837955327702512
3600,1.3880076306007914
7200,2.064978268215812
10800,1.7387313898546093
14400,1.3356716446720116
18000,1.6728265158971458
21600,2.1941102199265257
25200,2.509961094950055
28800,1.8886012019620724
32400,3.142123062698557
36000,2.803846486914685
39600,3.90215852751891
43200,2.9416133463089853
46800,3.7685201504887536
50400,4.37819777614034
54000,4.322211804886914
57600,4.8702851906707565
61200,3.6061622088359613
64800,3.1260947035953612
68400,4.28196927172451
72000,2.2448212607663365
75600,1.886300232314195
79200,1.6879965717665686
82800,1.707186317054322
86400,1.707186317054322
