[Name]
humidity
[Data]
time,humidity
0,74.0
3600,73.0
7200,40.0
10800,40.0
14400,39.0
18000,37.0
21600,38.0
25200,37.0
28800,37.0
32400,34.0
36000,35.0
39600,39.0
43200,42.0
46800,48.0
50400,52.0
54000,60.0
57600,62.0
61200,70.0
64800,74.0
68400,78.0
72000,80.0
75600,80.0
79200,78.0
82800,75.0
86400,75.0
