[Name]
GlobalSolarIrrad
[Data]
time,irradiation
0,0.0
3600,0.0
7200,0.0
10800,0.0
14400,0.0
18000,0.0
21600,0.0
25200,13.0
28800,118.0
32400,387.0
36000,566.0
39600,675.0
43200,745.0
46800,757.0
50400,674.0
54000,600.0
57600,387.0
61200,154.0
64800,43.0
68400,0.0
72000,0.0
75600,0.0
79200,0.0
82800,0.0
86400,0.0
