[Name]
GlobalSolarIrrad
[Data]
time,irradiation
0,0.0
3600,0.0
7200,0.0
10800,0.0
14400,0.0
18000,0.0
21600,0.0
25200,58.0
28800,228.0
32400,442.0
36000,587.0
39600,778.0
43200,811.0
46800,899.0
50400,899.0
54000,902.0
57600,794.0
61200,665.0
64800,441.0
68400,265.0
72000,89.0
75600,1.0
79200,0.0
82800,0.0
86400,0.0
