[Name]
x-component
[Data]
time,velocity
0,0.7071067811865476
3600,0.8855063983037739
7200,0.6527777777777777
10800,1.0036959095382876
14400,0.726950774511971
18000,-0.057569551867237924
21600,0.7564431041875379
25200,1.221758303648778
28800,1.970026884016805
32400,-1.130644277163017
36000,-1.4344571339445529
39600,-1.2036300463040965
43200,-2.6878809132000816
46800,-1.6830123234669172
50400,-1.3197449602433755
54000,-1.4718232373130793
57600,-1.2580058519181363
61200,-0.40277777777777807
64800,-1.1762981494312486
68400,-0.5891460374154427
72000,-0.22495105434386534
75600,0.11211166466227493
79200,-0.8050648328764938
82800,-0.0921152858394491
86400,-0.0921152858394491
