Datetime,Ux (m/s),Uy (m/s)
2024-06-21 00:00:00,-2.193107648180794,-0.07658500665271001
2024-06-21 01:00:00,-2.105968550548518,0.14726366679315325
2024-06-21 02:00:00,2.395906530141878,-1.805445069456145
2024-06-21 03:00:00,2.4228260851756693,-1.5734016567100781
2024-06-21 04:00:00,1.9665288421315474,-1.8338178126124955
2024-06-21 05:00:00,2.0410725346371335,-2.3479853606930683
2024-06-21 06:00:00,0.941235066808029,-0.7353734288612029
2024-06-21 07:00:00,1.554291922913942,-1.2586407820996746
2024-06-21 08:00:00,1.2966394812461135,-0.49773326325736145
2024-06-21 09:00:00,1.9966696809474562,-1.1527777777777775
2024-06-21 10:00:00,2.45406795861916,-0.477022488441362
2024-06-21 11:00:00,2.7474966026304437,-0.8927157615276257
2024-06-21 12:00:00,2.8637928774075916,-1.2156079552999628
2024-06-21 13:00:00,1.7024869698415679,2.8334141328764266
2024-06-21 14:00:00,1.4687712111070563,3.298914152598281
2024-06-21 15:00:00,2.01213865713885,3.098421820465039
2024-06-21 16:00:00,1.694444444444444,2.934863868380597
2024-06-21 17:00:00,0.10857621196333633,3.109215906281631
2024-06-21 18:00:00,-1.5082965963219368,2.72103908887812
2024-06-21 19:00:00,-1.8867739505569305,1.6401475724762675
2024-06-21 20:00:00,-1.8283842540479258,1.7049959001562465
2024-06-21 21:00:00,-1.565959859270634,1.056253262111411
2024-06-21 22:00:00,-1.5912756598477218,0.2520333047870383
2024-06-21 23:00:00,-2.4965738368864345,-0.13083989060736076
