[Name]
x-component
[Data]
time,velocity
0,-3.658134787320825
3600,-3.465882448133161
7200,-3.086481519185925
10800,-2.657525996468106
14400,-1.8914573975442337
18000,-2.325910967446089
21600,-1.9193043573336743
25200,-2.054265041878737
28800,-4.346666218300808
32400,-4.623125284973976
36000,-4.482876141412855
39600,-6.087856488338445
43200,-6.281561012967395
46800,-6.035681234641873
50400,-5.65199891906864
54000,-5.499162323360152
57600,-5.336444592662906
61200,-5.385606123380682
64800,-5.302323554462426
68400,-4.2188707766181786
72000,-4.913115334795853
75600,-3.380633725880515
79200,-3.7587028517092738
82800,-4.071102060382011
86400,-4.071102060382011
