[Name]
windspeed
[Data]
time,windspeed
0,1.0
3600,0.888888888888889
7200,1.3055555555555556
10800,1.5
14400,1.3
18000,1.1
21600,1.3888888888888888
25200,2.305555555555556
28800,2.5
32400,1.3055555555555556
36000,1.5
39600,2.0
43200,2.694444444444444
46800,1.8888888888888888
50400,1.611111111111111
54000,1.611111111111111
57600,1.5
61200,0.8055555555555555
64800,1.1944444444444444
68400,0.8055555555555555
72000,1.0
75600,0.8055555555555555
79200,0.8055555555555555
82800,0.11111111111111112
86400,0.11111111111111112
