[Name]
airtemp-K
[Data]
time,temperature
0,294.95
3600,294.95
7200,297.15
10800,297.15
14400,297.34999999999997
18000,297.65
21600,297.65
25200,297.84999999999997
28800,298.34999999999997
32400,299.34999999999997
36000,299.75
39600,298.75
43200,298.95
46800,298.54999999999995
50400,298.65
54000,297.65
57600,297.45
61200,296.65
64800,296.15
68400,295.75
72000,295.25
75600,295.25
79200,295.25
82800,295.04999999999995
86400,295.04999999999995
