[Name]
y-component
[Data]
time,velocity
0,-0.07367671526083494
3600,-0.9902680687415703
7200,-1.299038105676658
10800,-0.8816778784387098
14400,-0.9231671865491039
18000,-0.22699524986977346
21600,-0.7110565179362852
25200,-0.8126152240213007
28800,-0.9695908706338554
32400,-0.7565545601511904
36000,-4.235236847051263e-16
39600,1.0640626681243035
43200,0.9270509831248417
46800,0.5171028149940958
50400,1.2915834525062095
54000,1.0128787027555972
57600,1.534299013761771
61200,1.1033143012159186
64800,0.06447694600440712
68400,0.3520669920593155
72000,0.1831758468503038
75600,-0.08337101990041848
79200,-0.6984435168376497
82800,-0.1771176738701904
86400,-0.1771176738701904
