Datetime,U (m/s)
2024-05-24 00:00:00,2.111111111111111
2024-05-24 01:00:00,1.0
2024-05-24 02:00:00,1.5
2024-05-24 03:00:00,1.5
2024-05-24 04:00:00,1.3055555555555556
2024-05-24 05:00:00,0.5
2024-05-24 06:00:00,1.3055555555555556
2024-05-24 07:00:00,1.1111111111111112
2024-05-24 08:00:00,1.611111111111111
2024-05-24 09:00:00,2.111111111111111
2024-05-24 10:00:00,2.305555555555556
2024-05-24 11:00:00,3.1111111111111107
2024-05-24 12:00:00,3.0
2024-05-24 13:00:00,3.3055555555555554
2024-05-24 14:00:00,3.3055555555555554
2024-05-24 15:00:00,3.1111111111111107
2024-05-24 16:00:00,3.5
2024-05-24 17:00:00,3.3888888888888884
2024-05-24 18:00:00,3.6944444444444446
2024-05-24 19:00:00,2.888888888888889
2024-05-24 20:00:00,3.5
2024-05-24 21:00:00,2.388888888888889
2024-05-24 22:00:00,2.388888888888889
2024-05-24 23:00:00,1.6944444444444442
