Datetime,U (m/s)
2024-04-23 00:00:00,0.8055555555555555
2024-04-23 01:00:00,0.8055555555555555
2024-04-23 02:00:00,1.8055555555555556
2024-04-23 03:00:00,1.3055555555555556
2024-04-23 04:00:00,1.3888888888888888
2024-04-23 05:00:00,2.0
2024-04-23 06:00:00,0.6111111111111112
2024-04-23 07:00:00,0.6111111111111112
2024-04-23 08:00:00,1.8888888888888888
2024-04-23 09:00:00,1.8888888888888888
2024-04-23 10:00:00,2.611111111111111
2024-04-23 11:00:00,2.0
2024-04-23 12:00:00,1.0
2024-04-23 13:00:00,2.694444444444444
2024-04-23 14:00:00,2.888888888888889
2024-04-23 15:00:00,2.5
2024-04-23 16:00:00,3.0
2024-04-23 17:00:00,3.1111111111111107
2024-04-23 18:00:00,3.888888888888889
2024-04-23 19:00:00,2.111111111111111
2024-04-23 20:00:00,1.0
2024-04-23 21:00:00,0.888888888888889
2024-04-23 22:00:00,0.6944444444444444
2024-04-23 23:00:00,0.19444444444444442
