[Name]
windspeed
[Data]
time,windspeed
0,2.1944444444444446
3600,2.111111111111111
7200,3.0
10800,2.888888888888889
14400,2.611111111111111
18000,3.1111111111111107
21600,1.1944444444444444
25200,2.0
28800,1.3888888888888888
32400,2.305555555555556
36000,2.5
39600,2.888888888888889
43200,3.1111111111111107
46800,3.3055555555555554
50400,3.611111111111111
54000,3.6944444444444446
57600,3.3888888888888884
61200,3.1111111111111107
64800,3.1111111111111107
68400,2.5
72000,2.5
75600,1.8888888888888888
79200,1.611111111111111
82800,2.5
86400,2.5
