Datetime,U (m/s)
2024-04-01 00:00:00,2.111111111111111
2024-04-01 01:00:00,1.6944444444444442
2024-04-01 02:00:00,2.111111111111111
2024-04-01 03:00:00,1.8888888888888888
2024-04-01 04:00:00,1.611111111111111
2024-04-01 05:00:00,2.5
2024-04-01 06:00:00,2.1944444444444446
2024-04-01 07:00:00,2.611111111111111
2024-04-01 08:00:00,1.8888888888888888
2024-04-01 09:00:00,3.3888888888888884
2024-04-01 10:00:00,2.8055555555555554
2024-04-01 11:00:00,4.305555555555555
2024-04-01 12:00:00,3.1111111111111107
2024-04-01 13:00:00,3.8055555555555554
2024-04-01 14:00:00,4.388888888888889
2024-04-01 15:00:00,4.388888888888889
2024-04-01 16:00:00,4.888888888888889
2024-04-01 17:00:00,3.611111111111111
2024-04-01 18:00:00,5.194444444444444
2024-04-01 19:00:00,4.305555555555555
2024-04-01 20:00:00,2.388888888888889
2024-04-01 21:00:00,1.8888888888888888
2024-04-01 22:00:00,1.6944444444444442
2024-04-01 23:00:00,1.8055555555555556
