Datetime,U (m/s)
2024-05-29 00:00:00,1.3888888888888888
2024-05-29 01:00:00,1.3888888888888888
2024-05-29 02:00:00,1.3888888888888888
2024-05-29 03:00:00,1.3055555555555556
2024-05-29 04:00:00,1.3055555555555556
2024-05-29 05:00:00,1.5
2024-05-29 06:00:00,1.611111111111111
2024-05-29 07:00:00,1.3055555555555556
2024-05-29 08:00:00,1.6944444444444442
2024-05-29 09:00:00,1.611111111111111
2024-05-29 10:00:00,1.8055555555555556
2024-05-29 11:00:00,2.611111111111111
2024-05-29 12:00:00,2.694444444444444
2024-05-29 13:00:00,3.194444444444444
2024-05-29 14:00:00,2.888888888888889
2024-05-29 15:00:00,3.3055555555555554
2024-05-29 16:00:00,3.0
2024-05-29 17:00:00,3.1111111111111107
2024-05-29 18:00:00,2.388888888888889
2024-05-29 19:00:00,2.0
2024-05-29 20:00:00,2.0
2024-05-29 21:00:00,1.3888888888888888
2024-05-29 22:00:00,1.3888888888888888
2024-05-29 23:00:00,1.1944444444444444
