[Name]
GlobalSolarIrrad
[Data]
time,irradiation
0,0.0
3600,0.0
7200,0.0
10800,0.0
14400,0.0
18000,0.0
21600,0.0
25200,13.0
28800,163.0
32400,391.0
36000,603.0
39600,538.0
43200,459.0
46800,868.0
50400,585.0
54000,739.0
57600,377.0
61200,270.0
64800,106.0
68400,191.0
72000,15.0
75600,0.0
79200,0.0
82800,0.0
86400,0.0
