[Name]
windspeed
[Data]
time,windspeed
0,1.611111111111111
3600,1.5
7200,1.0
10800,0.888888888888889
14400,1.6944444444444442
18000,1.611111111111111
21600,1.6944444444444442
25200,1.611111111111111
28800,1.3055555555555556
32400,1.5
36000,1.6944444444444442
39600,2.305555555555556
43200,3.3055555555555554
46800,3.611111111111111
50400,3.194444444444444
54000,3.8055555555555554
57600,3.3055555555555554
61200,3.1111111111111107
64800,3.1111111111111107
68400,2.694444444444444
72000,2.5
75600,2.8055555555555554
79200,2.111111111111111
82800,1.0
86400,1.0
