Datetime,Wind Direction (deg)
2024-07-31 00:00:00,68.0
2024-07-31 01:00:00,290.0
2024-07-31 02:00:00,23.0
2024-07-31 03:00:00,329.0
2024-07-31 04:00:00,279.0
2024-07-31 05:00:00,353.0
2024-07-31 06:00:00,302.0
2024-07-31 07:00:00,306.0
2024-07-31 08:00:00,263.0
2024-07-31 09:00:00,240.0
2024-07-31 10:00:00,242.0
2024-07-31 11:00:00,228.0
2024-07-31 12:00:00,209.0
2024-07-31 13:00:00,213.0
2024-07-31 14:00:00,209.0
2024-07-31 15:00:00,201.0
2024-07-31 16:00:00,221.0
2024-07-31 17:00:00,219.0
2024-07-31 18:00:00,221.0
2024-07-31 19:00:00,216.0
2024-07-31 20:00:00,217.0
2024-07-31 21:00:00,252.0
2024-07-31 22:00:00,274.0
2024-07-31 23:00:00,59.0
