[Name]
windspeed
[Data]
time,windspeed
0,0.1527777777777778
3600,0.6111111111111112
7200,0.19444444444444442
10800,0.19444444444444442
14400,0.11111111111111112
18000,0.19444444444444442
21600,0.8055555555555555
25200,0.3055555555555556
28800,0.888888888888889
32400,0.38888888888888884
36000,2.305555555555556
39600,1.5
43200,2.8055555555555554
46800,3.1111111111111107
50400,2.8055555555555554
54000,2.8055555555555554
57600,2.5
61200,2.111111111111111
64800,2.305555555555556
68400,2.1944444444444446
72000,0.888888888888889
75600,0.5
79200,0.8055555555555555
82800,0.6944444444444444
86400,0.6944444444444444
