[Name]
y-component
[Data]
time,velocity
0,0.9925461516413221
3600,-0.10410269272636957
7200,-1.0546318470259404
10800,-1.2268209215816026
14400,0.04847152319791845
18000,-0.04556323180604266
21600,-0.6329591211674394
25200,-1.3121180579810146
28800,0.8876452082091097
32400,1.6934122346712452
36000,1.5243892018405774
39600,1.3352404436113898
43200,2.1989838165808293
46800,2.4863047384206833
50400,2.923110194355705
54000,2.3874336423233955
57600,2.7222185653854343
61200,2.146490568276963
64800,2.255173635025163
68400,1.6510159431083151
72000,1.7266613649332585
75600,1.3886773543838766
79200,1.0949310192620814
82800,1.651015943108315
86400,1.651015943108315
