Solution Time,CoordinateX,CoordinateY,CoordinateZ,udm-3,Turbulent Energy Dissipation,Temperature,solar-heat-flux,X-component-velocity,incident-radiation,viscosity-eff,Y Plus,Pressure,Y-component-velocity,Turbulent Kinetic Energy,Z-component-velocity,,turb-intensity,udm-1,Magnitude Velocity,udm-2
3600,1939.88733,1785.15076,66.2377548,22.1778774,0.000376568,292.516113,0,0.156086266,1814.99377,0.030921204,0,35.0228462,0.08817225,0.008523698,-0.006939064,299.089294,0.074693054,0,0.181008086,0
7200,1939.88733,1785.15076,66.2377548,20.4456787,0.000336279,291.999603,0,0.153232187,1761.79614,0.018342372,0,27.3136158,0.160474733,0.006120256,0.061912093,296.873199,0.06279958,0,0.232760862,0
10800,1939.88733,1785.15076,66.2377548,19.2828674,0.000410878,290.895996,0,0.242031232,1761.6991,0.025698384,0,38.7729111,0.201365978,0.008330211,-0.008563811,296.86911,0.074033946,0,0.315456629,0
14400,1939.88733,1785.15076,66.2377548,19.5792274,0.000296031,291.101776,0,0.145261273,1742.21216,0.012161425,0,15.8151989,0.143539324,0.004623146,0.084527403,296.044708,0.054253832,0,0.223590478,0
18000,1939.88733,1785.15076,66.2377548,19.0782948,0.000321217,290.773834,0,0.195364237,1739.46887,0.015338963,0,14.4778185,0.173780933,0.005280742,0.004218374,295.928101,0.058607921,0,0.262705296,0
21600,1939.88733,1785.15076,66.2377548,18.4949665,0.000468078,290.650665,0,0.254663974,1729.60022,0.025769027,0,25.1339302,0.191769063,0.008526392,-0.002075054,295.507507,0.074903734,0,0.320549995,0
25200,1939.88733,1785.15076,66.2377548,18.8417797,0.00035607,291.02655,0,0.207582697,1727.16479,0.017688094,0,32.6362839,0.204325169,0.006464883,-0.008941723,295.403412,0.065018535,0,0.292078882,0
28800,1939.88733,1785.15076,66.2377548,19.6720486,0.000217985,293.52475,0,0.364414185,1730.16589,0.017318284,0,22.4260731,0.353718519,0.004701441,0.024507122,295.531647,0.0544919,0,0.509279609,0
32400,1939.88733,1785.15076,66.2377548,21.336031,0.000222874,295.190948,0,0.327781081,1751.61743,0.022279747,0,-3.80255675,0.310332805,0.005406454,0.056375034,296.443451,0.05892913,0,0.455102831,0
36000,1939.88733,1785.15076,66.2377548,23.2834969,0.000172485,296.638306,0,0.230792135,1776.10571,0.016767144,0,-57.2287254,0.177534267,0.003915366,0.036478173,297.474152,0.050026503,0,0.293698132,0
39600,1939.88733,1785.15076,66.2377548,24.7040367,7.78E-05,298.880768,0,0.347262651,1807.50378,0.008971239,0,-87.170517,0.336922109,0.001868969,0.015763808,298.780182,0.034180649,0,0.484263271,0
43200,1939.88733,1785.15076,66.2377548,28.5264053,5.84E-05,301.006073,0,0.021412863,1850.33582,0.004848126,0,-68.4891968,0.039689887,0.001292604,0.061276823,300.534637,0.027844546,0,0.079387732,0
46800,1939.88733,1785.15076,66.2377548,29.1477757,0.000161468,300.631378,0,0.021167211,1894.76245,0.013665425,0,-86.8710251,0.083757773,0.003527422,0.029359276,302.322449,0.047693778,0,0.098930813,0
50400,1939.88733,1785.15076,66.2377548,28.901926,0.00011284,301.976288,0,0.528493941,1948.63928,0.011374051,0,-80.0808487,0.481817603,0.0025519,0.041736532,304.448883,0.040923458,0,0.716544032,0
54000,1939.88733,1785.15076,66.2377548,31.0216064,0.000303528,302.931671,0,0.467434496,2012.27979,0.020914499,0,-83.6125183,0.379224569,0.006982844,0.155543059,306.904694,0.06812457,0,0.623004556,0
57600,1939.88733,1785.15076,66.2377548,32.506218,0.001257557,303.510925,0,0.479625434,2067.43604,0.077865519,0,-66.6338043,0.306629598,0.029994428,0.182346821,308.986603,0.141402587,0,0.601086915,0
61200,1939.88733,1785.15076,66.2377548,33.0196495,0.000982189,303.646423,0,0.531261146,2101.45557,0.058145598,0,-68.427887,0.388380796,0.023168599,0.125124574,310.250092,0.124247514,0,0.673220217,0
64800,1939.88733,1785.15076,66.2377548,32.9840202,0.000959637,303.384521,0,0.54104197,2114.31567,0.058109839,0,-53.3891335,0.398983151,0.022461271,0.138767838,310.723724,0.122328885,0,0.689300239,0
68400,1939.88733,1785.15076,66.2377548,32.439785,0.000705895,302.647552,0,0.490742654,2108.71777,0.04545477,0,-40.7375946,0.378713876,0.017027788,0.119989626,310.517853,0.106508903,0,0.634346485,0
72000,1939.88733,1785.15076,66.2377548,31.3161259,0.000972913,301.533691,0,0.487848014,2093.77637,0.077413619,0,-11.3216009,0.349239439,0.025777727,0.161936253,309.96637,0.130954251,0,0.623442769,0
75600,1939.88733,1785.15076,66.2377548,30.2707596,0.00125059,300.893799,0,0.490684718,2070.7793,0.107205048,0,6.45524502,0.431893587,0.029627377,0.098371051,309.111725,0.140355915,0,0.661700249,0
79200,1939.88733,1785.15076,66.2377548,28.2577648,0.001288948,299.404114,0,0.573350012,2043.59607,0.093369566,0,21.5236435,0.481978357,0.02646281,0.085853957,308.092285,0.132561341,0,0.754383624,0
82800,1939.88733,1785.15076,66.2377548,27.1763763,0.001325254,297.867676,0,0.390056759,2015.7793,0.05009073,0,19.7525406,0.337871611,0.026572382,0.242162555,307.038483,0.132973015,0,0.575741231,0
86400,1939.88733,1785.15076,66.2377548,25.9471493,0.000316488,297.185303,0,0.48618862,1991.49731,0.032291353,0,19.7136497,0.429345042,0.008614639,0.111089371,306.10965,0.075218797,0,0.658966064,0
