Solution Time,CoordinateX,CoordinateY,CoordinateZ,udm-3,Turbulent Energy Dissipation,Temperature,solar-heat-flux,X-component-velocity,incident-radiation,viscosity-eff,Y Plus,Pressure,Y-component-velocity,Turbulent Kinetic Energy,Z-component-velocity,,turb-intensity,udm-1,Magnitude Velocity,udm-2
3600,1947.37769,1759.73096,65.3357315,24.6270237,0.000167182,296.169983,0,-0.115607046,1810.51843,0.04576071,0,34.7344093,-0.01862088,0.006225192,0.030322427,298.904755,0.06418895,0,0.122896463,0
7200,1947.37769,1759.73096,65.3357315,22.2525063,5.92E-05,294.148102,0,-0.083989456,1770.51331,0.003676163,0,27.1311207,-0.101578519,0.00120578,0.110673942,297.239746,0.026056051,0,0.17908223,0
10800,1947.37769,1759.73096,65.3357315,22.187294,4.47E-05,293.416443,0,-0.060520057,1766.69385,0.003852088,0,38.6136169,-0.098445423,0.000989916,0.025809325,297.079315,0.021962736,0,0.120590866,0
14400,1947.37769,1759.73096,65.3357315,21.7405243,3.37E-05,293.327179,0,-0.074860238,1752.08472,0.002754316,0,15.7899323,-0.10152486,0.000703343,-0.033696875,296.463257,0.018031547,0,0.131645575,0
18000,1947.37769,1759.73096,65.3357315,21.3589802,3.14E-05,292.749512,0,-0.061181702,1746.49756,0.002205527,0,14.4287376,0.076296791,0.000631734,0.066971205,296.226624,0.020339236,0,0.124082819,0
21600,1947.37769,1759.73096,65.3357315,20.5737362,8.22E-06,292.910858,0,-0.042423982,1739.40784,0.000504554,0,25.042244,-0.040705618,0.00017244,0.220597059,295.925537,0.008780975,0,0.23209703,0
25200,1947.37769,1759.73096,65.3357315,21.2516689,7.92E-06,293.406616,0,0.111523353,1737.29468,0.000466585,0,32.6590042,0.106060199,0.000152631,0.030756146,295.835602,0.009103186,0,0.162595108,0
28800,1947.37769,1759.73096,65.3357315,22.5793819,9.15E-07,295.233276,0,0.031213941,1741.03162,5.64E-05,0,22.5257092,0.054421369,1.39E-05,0.113027252,295.994568,0.00274596,0,0.131650165,0
32400,1947.37769,1759.73096,65.3357315,24.157711,4.76E-07,297.559235,0,0.104783572,1770.17603,3.82E-05,0,-3.79706693,0.149364546,7.24E-06,-0.068363123,297.225586,0.002079929,0,0.197331175,0
36000,1947.37769,1759.73096,65.3357315,26.6476479,2.69E-06,299.706696,0,0.156006441,1825.59399,0.000237259,0,-57.544426,0.071276031,5.81E-05,-0.031761378,299.525024,0.006160298,0,0.177571878,0
39600,1947.37769,1759.73096,65.3357315,29.7476368,7.67E-05,301.343933,0,0.051659875,1905.63489,0.003792702,0,-87.5191116,0.091054566,0.001422177,-0.013012864,302.755432,0.029520448,0,0.107158296,0
43200,1947.37769,1759.73096,65.3357315,31.9835796,3.88E-03,304.67572,0,-0.352963626,2001.59167,0.160961419,0,-68.5548935,-0.53841871,0.078652471,-0.419434905,306.496674,0.228690609,0,0.773956954,0
46800,1947.37769,1759.73096,65.3357315,33.1030006,0.000465132,303.182007,0,-0.246784166,2078.05908,0.021442339,0,-87.4401627,-0.291504323,0.008598094,0.016794602,309.382843,0.074908383,0,0.385792524,0
50400,1947.37769,1759.73096,65.3357315,37.3421021,0.002801789,305.466217,0,0.012999666,2163.81616,0.079659432,0,-80.3979721,0.100471325,0.044797149,-0.080542281,312.526367,0.172001347,0,0.146360055,0
54000,1947.37769,1759.73096,65.3357315,37.8559456,0.004515195,306.147369,0,0.2548199,2220.61963,0.136302158,0,-83.8712311,0.231607571,0.080738306,-0.182369828,314.557373,0.231866986,0,0.392528057,0
57600,1947.37769,1759.73096,65.3357315,37.9075279,0.00844386,306.255524,0,0.359715432,2236.01245,0.244870961,0,-66.6658249,0.293673277,0.137439519,-0.153771251,315.101257,0.302497119,0,0.489765555,0
61200,1947.37769,1759.73096,65.3357315,39.002491,0.004125803,306.202332,0,0.038304664,2225.0188,0.397620738,0,-68.5992661,0.123670086,0.111916788,-0.060671646,314.713379,0.272896469,0,0.145199776,0
64800,1947.37769,1759.73096,65.3357315,36.7894287,0.010965911,305.960388,0,-0.558166683,2207.61719,0.330067962,0,-53.700264,-0.13820231,0.191698924,0.267987698,314.096313,0.357313037,0,0.639910996,0
68400,1947.37769,1759.73096,65.3357315,36.5017471,0.007652135,305.940155,0,-0.412754714,2169.12988,0.428438336,0,-40.9012604,-0.030505551,0.162986502,0.233480111,312.718353,0.329391986,0,0.47930941,0
72000,1947.37769,1759.73096,65.3357315,35.8143883,0.006985174,304.965454,0,-0.113189042,2141.49707,0.317173421,0,-11.2672434,0.122314669,0.141684219,0.257627517,311.717651,0.307006299,0,0.3154625,0
75600,1947.37769,1759.73096,65.3357315,34.864994,0.004277825,303.143066,0,-0.05760302,2101.94312,0.358012706,0,5.84599733,0.091293544,0.109817855,-0.003591152,310.268188,0.270379245,0,0.117825776,0
79200,1947.37769,1759.73096,65.3357315,32.8833199,0.002878916,301.775574,0,-0.125351697,2065.92163,0.271518707,0,21.0459785,0.110744961,0.087580524,0.025157835,308.930298,0.241472661,0,0.181497172,0
82800,1947.37769,1759.73096,65.3357315,31.986187,0.002534279,300.617828,0,-0.081884526,2032.52014,0.31063059,0,19.2611542,0.060124155,0.083568528,0.013824924,307.673981,0.235811979,0,0.114657015,0
86400,1947.37769,1759.73096,65.3357315,30.8872471,0.002686867,299.771515,0,0.000478687,2003.76367,0.347119778,0,19.5234699,0.108777195,0.093012013,-0.004985668,306.579895,0.248778179,0,0.115865014,0
